instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex10nDr0nDe2,30,4.944836,0.513524,0.113892,4,1
metroplex14nDr0nDe2,30,5.694236,0.394611,0.075571,4,1
metroplex13nDr0nDe1,30,11.055138,0.519519,0.245887,4,2
metroplex19nDr0nDe2,30,4.157895,0.357306,0.084396,4,1
metroplex23nDr0nDe2,30,11.130326,0.345354,0.085378,4,1
airport13nDr0nDe1,30,1.305764,0.382481,0.061527,4,1
metroplex17nDr0nDe3,30,98.588972,0.877367,0.198403,5,2
airport14nDr0nDe2,30,1.518797,0.585419,0.076663,4,1
metroplex19nDr0nDe3,30,4.220551,1.062723,0.539933,4,2
metroplex20nDr0nDe1,30,3.310777,1.081400,0.151986,4,1
metroplex17nDr0nDe2,30,4.421053,1.304419,0.201363,4,1
airport17nDr0nDe3,30,3.822055,0.389784,0.075127,4,1
airport23nDr0nDe2,30,1.466165,0.931440,0.096374,4,1
grid14nDr0nDe2,30,2.842105,0.410986,0.085532,4,1
airport19nDr0nDe3,30,1.646617,0.439426,0.066143,4,1
metroplex20nDr0nDe2,30,12.531328,1.701876,0.715275,4,2
metroplex12nDr0nDe2,30,8.894737,2.061271,0.858102,4,2
metroplex1nDr0nDe3,30,10.112782,1.951797,0.794545,4,2
airport20nDr0nDe1,30,3.378446,0.774559,0.087195,4,1
grid13nDr0nDe1,30,5.932331,1.250644,1.237625,4,4
metroplex27nDr0nDe1,30,3.954887,2.082425,0.898425,4,2
metroplex13nDr0nDe3,30,7.674185,2.519101,1.025335,4,2
metroplex0nDr0nDe1,30,3.298246,2.678504,1.921662,4,3
grid17nDr0nDe3,30,7.912281,0.946628,0.152069,4,1
airport20nDr0nDe2,30,3.568922,0.544141,0.086850,4,1
metroplex27nDr0nDe3,30,9.022556,2.612149,1.111129,5,2
metroplex1nDr0nDe1,30,11.250627,2.675206,0.453873,4,1
metroplex22nDr0nDe2,30,4.661654,2.754548,1.237181,4,2
airport17nDr0nDe2,30,1.476190,1.349136,0.157714,4,1
airport27nDr0nDe1,30,1.075188,0.573526,0.085338,4,1
airport0nDr0nDe1,30,1.075188,0.582161,0.070109,4,1
metroplex22nDr0nDe3,30,14.957393,3.253501,2.025256,5,3
grid20nDr0nDe1,30,3.375940,1.342260,0.118144,6,1
airport1nDr0nDe1,30,0.979950,0.645125,0.086523,4,1
grid19nDr0nDe3,30,7.511278,1.785344,0.808502,4,2
airport22nDr0nDe2,30,1.581454,0.567845,0.099405,4,1
metroplex17nDr0nDe1,30,2.904762,3.696136,0.399536,4,1
metroplex22nDr0nDe1,30,4.476190,3.907500,1.583426,4,2
metroplex11nDr0nDe1,30,87.476164,4.151017,1.993652,6,4
