instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex10nDr0nDe2,30,4.944836,0.461662,0.094975,4,1
metroplex14nDr0nDe2,30,5.694236,0.451264,0.094038,4,1
metroplex19nDr0nDe2,30,4.157895,0.354465,0.072805,4,1
metroplex13nDr0nDe1,30,11.055138,0.502748,0.202967,4,2
metroplex23nDr0nDe2,30,11.130326,0.338840,0.083807,4,1
airport14nDr0nDe2,30,1.518797,0.575242,0.074968,4,1
metroplex20nDr0nDe1,30,3.310777,0.943163,0.192380,4,1
airport13nDr0nDe1,30,1.305764,0.441378,0.061544,4,1
metroplex17nDr0nDe3,30,104.481203,1.104980,0.656518,5,3
metroplex19nDr0nDe3,30,4.220551,1.263087,0.584688,4,2
grid14nDr0nDe2,30,2.842105,0.415609,0.084922,4,1
airport23nDr0nDe2,30,1.466165,0.952454,0.128239,4,1
metroplex17nDr0nDe2,30,4.421053,1.619383,0.202885,4,1
metroplex20nDr0nDe2,30,12.531328,1.646286,0.679974,4,2
metroplex12nDr0nDe2,30,8.894737,1.908776,0.824677,4,2
airport20nDr0nDe1,30,3.378446,0.625838,0.085642,4,1
airport17nDr0nDe3,30,3.822055,0.625973,0.080365,4,1
airport19nDr0nDe3,30,1.646617,0.394761,0.066286,4,1
metroplex12nDr0nDe3,30,11.508772,2.162251,0.223797,5,1
metroplex1nDr0nDe3,30,10.112782,1.923742,0.851413,4,2
metroplex13nDr0nDe3,30,7.674185,2.193623,1.010681,4,2
metroplex12nDr0nDe1,30,7.842105,2.109771,0.257799,5,1
metroplex27nDr0nDe1,30,3.954887,1.961338,0.877162,4,2
metroplex27nDr0nDe2,30,6.300752,2.024258,0.914834,4,2
grid13nDr0nDe1,30,5.932331,1.040405,1.026956,4,4
metroplex27nDr0nDe3,30,9.205514,2.243813,1.631554,4,3
airport20nDr0nDe2,30,3.568922,0.683844,0.091558,4,1
metroplex0nDr0nDe1,30,3.298246,2.977145,2.217902,4,3
grid20nDr0nDe1,30,3.375940,0.797375,0.134493,4,1
metroplex1nDr0nDe1,30,11.250627,2.732762,0.413592,4,1
grid17nDr0nDe3,30,7.912281,0.967965,0.156080,4,1
metroplex22nDr0nDe2,30,4.661654,2.720655,1.087621,4,2
airport27nDr0nDe1,30,1.075188,0.643526,0.087422,4,1
metroplex22nDr0nDe3,30,15.847118,2.846472,1.448809,4,2
airport17nDr0nDe2,30,1.476190,1.564675,0.161606,4,1
airport0nDr0nDe1,30,1.075188,0.473109,0.069989,4,1
metroplex17nDr0nDe1,30,2.904762,3.451158,0.483465,4,1
grid19nDr0nDe3,30,7.511278,1.568503,0.758433,4,2
airport22nDr0nDe2,30,1.581454,0.608393,0.081572,4,1
airport1nDr0nDe1,30,0.979950,0.646957,0.098402,4,1
metroplex22nDr0nDe1,30,4.476190,3.751021,1.611424,4,2
airport17nDr0nDe1,30,1.200501,0.410656,0.075648,4,1
airport27nDr0nDe3,30,2.754386,1.487550,0.142125,4,1
metroplex13nDr0nDe2,30,43.867167,4.057789,3.022210,5,4
metroplex26nDr0nDe1,30,2.488722,3.930503,1.721594,4,2
metroplex14nDr0nDe3,30,9.300752,4.211128,1.942870,4,2
grid20nDr0nDe2,30,10.180451,1.680870,0.267185,4,1
grid17nDr0nDe2,30,6.481203,1.179492,0.159442,4,1
metroplex29nDr0nDe1,30,3.090226,1.659004,0.684005,4,2
metroplex18nDr0nDe1,30,5.147870,4.887518,4.852854,4,4
airport12nDr0nDe1,30,0.884712,2.893264,0.210285,4,1
grid27nDr0nDe1,30,3.769424,2.289640,0.905798,4,2
airport22nDr0nDe1,30,1.270677,1.296704,0.128716,4,1
airport22nDr0nDe3,30,1.593985,2.168015,0.141069,4,1
metroplex29nDr0nDe2,30,4.037594,1.775930,0.269306,4,1
airport18nDr0nDe1,30,1.548872,0.435126,0.088544,4,1
airport19nDr0nDe2,30,2.120301,5.215358,0.365818,4,1
airport29nDr0nDe1,30,1.295739,0.754671,0.095173,4,1
airport12nDr0nDe2,30,1.471178,3.835549,0.320069,4,1
airport27nDr0nDe2,30,1.902256,3.428400,0.272809,4,1
airport13nDr0nDe2,30,3.832080,1.667091,0.204235,4,1
metroplex19nDr0nDe1,30,4.315789,5.965848,2.417985,4,2
airport29nDr0nDe2,30,1.223058,0.741423,0.070965,4,1
metroplex2nDr0nDe2,30,4.774436,0.937817,0.442325,4,2
airport1nDr0nDe3,30,2.278195,4.340211,0.355967,4,1
airport12nDr0nDe3,30,2.157895,4.411241,0.300723,4,1
grid22nDr0nDe1,30,3.466165,1.390462,0.611447,4,2
grid29nDr0nDe1,30,2.543860,1.117462,0.152369,4,1
airport10nDr0nDe2,30,1.115288,6.596483,0.464172,4,1
grid13nDr0nDe2,30,6.686717,1.054021,0.171410,4,1
grid22nDr0nDe3,30,4.969925,2.043856,0.870866,4,2
metroplex26nDr0nDe2,30,14.857143,7.424525,0.905990,5,1
grid22nDr0nDe2,30,14.213033,4.133991,0.484328,5,1
airport19nDr0nDe1,30,1.032581,1.688044,0.175777,4,1
grid0nDr0nDe1,30,3.498747,4.583411,0.366624,4,1
grid17nDr0nDe1,30,3.042607,3.970419,0.318547,6,1
airport2nDr0nDe1,30,2.017544,2.986243,0.243321,4,1
