instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex10nDr0nDe2,30,4.944836,0.477380,0.101860,4,1
metroplex13nDr0nDe1,30,11.055138,0.442706,0.202833,4,2
metroplex14nDr0nDe2,30,5.694236,0.365701,0.088074,4,1
metroplex19nDr0nDe2,30,4.157895,0.339230,0.074804,4,1
metroplex23nDr0nDe2,30,11.130326,0.337450,0.089181,4,1
metroplex20nDr0nDe1,30,3.310777,0.735190,0.149357,4,1
metroplex19nDr0nDe3,30,4.220551,1.157933,0.178008,4,1
metroplex17nDr0nDe3,30,52.478697,1.357952,0.685911,6,4
metroplex17nDr0nDe2,30,4.421053,1.589795,0.177474,4,1
metroplex20nDr0nDe2,30,12.531328,1.660717,0.234205,4,1
metroplex13nDr0nDe2,30,28.741559,1.909979,0.995245,6,4
airport13nDr0nDe1,30,1.305764,0.367246,0.062960,4,1
metroplex12nDr0nDe3,30,11.508772,2.063846,0.234692,5,1
metroplex27nDr0nDe3,30,9.205514,1.941359,0.338139,4,1
airport14nDr0nDe2,30,1.518797,0.709053,0.096132,4,1
metroplex1nDr0nDe3,30,10.112782,2.114405,0.932241,4,2
metroplex12nDr0nDe2,30,8.894737,2.331407,0.927234,4,2
metroplex27nDr0nDe1,30,3.954887,2.071892,1.004930,4,2
airport23nDr0nDe2,30,1.466165,0.741842,0.106871,4,1
metroplex0nDr0nDe1,30,3.298246,2.623798,1.897106,4,3
metroplex13nDr0nDe3,30,7.674185,2.394656,1.028504,4,2
metroplex1nDr0nDe1,30,11.250627,2.498394,1.173884,4,2
metroplex22nDr0nDe3,30,14.957393,2.740321,1.626624,5,3
metroplex22nDr0nDe1,30,4.476190,3.409976,1.370218,4,2
metroplex17nDr0nDe1,30,2.904762,3.538581,0.321684,4,1
metroplex27nDr0nDe2,30,6.117794,3.440369,1.170834,6,2
airport20nDr0nDe1,30,3.378446,0.666762,0.118291,4,1
metroplex14nDr0nDe3,30,9.300752,3.807176,0.571095,4,1
metroplex0nDr0nDe2,30,11.822055,4.325214,3.069392,4,3
airport17nDr0nDe3,30,3.822055,0.409782,0.064691,4,1
metroplex26nDr0nDe1,30,2.488722,4.084475,2.992717,4,3
airport19nDr0nDe3,30,1.646617,0.406097,0.065701,4,1
grid14nDr0nDe2,30,2.842105,0.569504,0.111775,4,1
metroplex18nDr0nDe1,30,5.147870,4.352865,1.829640,4,2
grid13nDr0nDe1,30,5.932331,1.398853,1.373890,4,4
metroplex12nDr0nDe1,30,7.842105,4.939093,0.246457,10,1
metroplex22nDr0nDe2,30,4.661654,5.398173,0.366929,5,1
grid17nDr0nDe3,30,7.912281,1.049238,0.160720,4,1
metroplex26nDr0nDe2,30,14.857143,6.358435,6.322103,4,4
grid20nDr0nDe1,30,3.375940,1.255465,0.126390,6,1
airport17nDr0nDe2,30,1.476190,1.420315,0.175682,4,1
airport19nDr0nDe2,30,2.120301,5.348958,0.434449,4,1
grid19nDr0nDe3,30,7.511278,1.537580,0.696577,4,2
airport20nDr0nDe2,30,3.568922,0.781255,0.090214,4,1
airport27nDr0nDe1,30,1.075188,0.735715,0.108752,4,1
airport10nDr0nDe2,30,1.115288,6.286351,0.485164,4,1
metroplex26nDr0nDe3,30,6.521303,8.352458,3.483897,4,2
airport27nDr0nDe3,30,2.754386,1.931284,0.188877,4,1
metroplex18nDr0nDe3,30,6.919799,9.245964,6.874447,6,4
airport1nDr0nDe1,30,0.979950,0.817018,0.117073,4,1
airport0nDr0nDe1,30,1.075188,0.833224,0.103978,4,1
metroplex11nDr0nDe1,30,140.285636,10.425493,8.002550,6,5
grid20nDr0nDe2,30,10.180451,2.163185,0.337979,4,1
metroplex21nDr0nDe1,30,1.887218,10.857657,1.042801,4,1
airport12nDr0nDe2,30,1.471178,3.950015,0.312037,4,1
airport17nDr0nDe1,30,1.200501,0.435786,0.077935,4,1
grid17nDr0nDe2,30,6.481203,1.530961,0.167976,4,1
metroplex29nDr0nDe1,30,3.090226,2.158475,0.945282,4,2
airport22nDr0nDe3,30,1.593985,2.304878,0.207255,4,1
grid27nDr0nDe1,30,3.769424,3.426683,1.501471,4,2
metroplex28nDr0nDe1,30,5.180451,7.653314,7.597395,4,4
metroplex29nDr0nDe2,30,4.037594,2.079782,0.331456,4,1
airport1nDr0nDe3,30,2.278195,5.200264,0.365679,4,1
airport13nDr0nDe2,30,3.832080,2.305984,0.199545,4,1
airport22nDr0nDe1,30,1.270677,1.409164,0.130767,4,1
metroplex25nDr0nDe2,30,9.150376,14.790712,10.755737,4,3
airport27nDr0nDe2,30,1.902256,4.763497,0.377525,4,1
metroplex28nDr0nDe3,30,13.598997,5.660878,2.322856,4,2
metroplex15nDr0nDe3,30,7.957393,15.432972,5.434173,4,2
grid0nDr0nDe1,30,3.498747,4.568391,0.461021,4,1
metroplex16nDr0nDe3,30,8.894737,15.603909,5.775298,4,2
metroplex15nDr0nDe2,30,6.982456,15.796431,10.868627,4,3
metroplex21nDr0nDe3,30,16.754386,15.963654,5.966790,4,2
metroplex16nDr0nDe1,30,12.631579,16.387167,9.729195,5,3
grid23nDr0nDe2,30,3.972431,12.849378,8.734928,7,6
metroplex11nDr0nDe2,30,30.130326,17.598489,6.829853,6,4
airport18nDr0nDe1,30,1.548872,0.566154,0.093382,4,1
airport22nDr0nDe2,30,1.581454,0.867722,0.117245,4,1
metroplex25nDr0nDe1,30,9.127820,17.777316,13.296527,7,6
airport29nDr0nDe1,30,1.295739,0.905298,0.112241,4,1
airport13nDr0nDe3,30,3.000000,9.921432,0.819039,4,1
metroplex11nDr0nDe3,30,32.225564,18.901982,6.895854,6,4
