instance,timeLim,opt,totalTime,bestTime,nIter,optIter
airport25,30,3.433584,1.411505,0.655330,5,3
airport28,30,3.515413,1.684691,0.720739,4,2
airport20,30,5.050125,2.081658,0.888213,4,2
airport2,30,1.157895,2.057153,0.212146,4,1
airport18,30,1.157895,2.420080,0.233410,4,1
airport21,30,0.631579,2.441082,0.225913,4,1
airport15,30,1.210526,2.539071,0.252023,4,1
airport27,30,1.263158,3.251545,0.241565,4,1
airport13,30,0.848008,3.437161,0.321294,4,1
airport14,30,1.464422,3.744668,0.298272,4,1
airport16,30,3.247886,4.431897,0.627547,4,1
airport32,30,0.947368,2.214806,0.188779,4,1
airport24,30,6.310777,4.627457,0.362562,4,1
airport38,30,0.842105,1.310486,0.150316,4,1
airport17,30,1.210526,5.130545,1.041523,6,3
airport29,30,1.473684,6.095173,0.371565,4,1
airport40,30,1.157895,2.155743,0.217150,4,1
airport1,30,1.421053,6.850777,2.456195,7,4
airport31,30,2.126514,5.176026,1.919629,4,2
airport41,30,0.315789,2.499281,0.238850,4,1
airport43,30,1.894737,2.790324,0.173243,4,1
airport44,30,1.105263,4.201852,0.270707,4,1
airport4,30,0.788046,2.590633,0.380813,4,1
airport45,30,6.731830,4.263088,1.379523,4,2
airport47,30,5.873450,3.787816,0.936323,6,3
airport36,30,0.315789,8.731499,0.482173,4,1
airport3,30,1.201066,8.708417,0.615699,4,1
airport50,30,2.522368,5.269227,2.183638,4,2
airport35,30,6.907540,11.514068,1.451759,6,3
airport30,30,4.188024,14.505816,0.902998,7,2
airport48,30,1.315789,8.976910,0.586648,4,1
airport52,30,1.413534,6.469241,0.900889,5,2
airport56,30,0.894737,3.709032,0.415806,4,1
airport58,30,1.105263,3.766609,0.887282,6,3
airport33,30,1.421053,17.362149,15.008116,6,5
airport57,30,3.389875,5.766245,0.517085,4,1
airport51,30,4.749664,10.478349,4.415863,4,2
airport53,30,1.315856,9.738418,0.593581,4,1
airport39,30,1.421053,17.210980,9.787652,8,5
airport55,30,2.816884,9.272222,3.630663,4,2
airport61,30,1.157895,4.767486,0.318195,4,1
airport5,30,1.263158,6.057300,0.470082,4,1
airport54,30,0.473684,12.250518,3.811286,5,2
airport67,30,0.788048,3.035961,0.330678,4,1
airport59,30,67.249793,8.312468,1.839288,5,2
airport64,30,1.423559,5.352149,3.769619,4,3
airport60,30,1.157895,8.141755,2.727684,9,6
airport37,30,1.157895,23.297371,13.048727,10,6
airport72,30,0.789474,3.047225,0.248180,4,1
airport65,30,1.000000,7.227923,0.544959,4,1
airport74,30,1.210526,3.426612,0.314276,4,1
airport62,30,0.947368,10.211862,0.627137,4,1
airport66,30,3.835528,7.544040,0.802939,4,1
airport78,30,1.000000,3.442885,0.395757,4,1
airport75,30,10.416316,4.889794,0.415981,4,1
airport63,30,1.263158,10.668501,3.933653,5,2
airport73,30,2.514772,6.843607,2.545769,4,2
airport71,30,0.947368,9.202201,6.133702,4,3
airport81,30,0.842105,2.999058,0.254422,4,1
airport77,30,1.263158,6.939474,0.462114,4,1
airport76,30,1.105263,8.457635,0.467324,4,1
airport80,30,1.426399,5.489899,0.557446,4,1
airport70,30,0.684211,11.883136,0.587331,4,1
airport7,30,1.368421,8.137564,0.785933,4,1
airport6,30,1.315789,14.267180,0.569791,4,1
airport84,30,1.000000,7.577998,0.473340,4,1
airport87,30,1.036688,6.220585,0.514080,4,1
airport91,30,1.789474,4.365128,0.354248,4,1
airport8,30,1.421053,5.957277,0.377287,4,1
airport86,30,1.378625,8.947651,0.595013,4,1
airport82,30,1.210526,11.010941,3.904336,5,2
airport92,30,4.260652,5.159589,1.604250,5,2
airport95,30,1.473684,3.152727,0.340476,4,1
airport83,30,2.002974,12.237757,4.161731,5,2
airport85,30,0.469678,11.851422,0.920900,4,1
airport79,30,1.000000,15.881570,0.959334,4,1
airport97,30,1.072200,3.257367,0.413515,4,1
airport88,30,3.090226,10.386085,10.358601,4,4
airport90,30,0.789474,9.990396,0.883749,4,1
airport99,30,1.157895,7.309791,6.215621,6,5
airport94,30,0.421053,12.736256,0.853310,4,1
airport93,30,7.842122,15.454352,3.446056,5,2
airport9,30,1.315790,14.025824,0.587287,6,1
grid15,30,18.939850,12.434766,9.564934,7,6
grid19,30,11.256069,10.296601,3.981315,4,2
airport12,30,0.789474,64.329509,14.884404,12,4
airport96,30,1.000000,24.803829,3.132912,21,3
grid18,30,12.574852,15.126909,0.707934,5,1
grid21,30,2.699540,7.894445,5.525129,4,3
grid0,30,5.426075,24.711527,10.037824,4,2
grid13,30,3.455403,23.253142,9.369662,6,4
grid25,30,2.315789,6.205559,0.330328,4,1
grid26,30,3.536651,11.849415,4.201055,4,2
grid1,30,9.063341,26.736364,10.188711,4,2
grid16,30,5.132105,34.959369,10.955593,5,2
grid23,30,3.623898,16.658846,6.922996,4,2
grid27,30,3.368421,15.177432,15.107059,4,4
airport10,30,0.947368,83.532069,0.509743,21,1
airport11,30,15.332282,85.431788,69.319781,4,3
grid2,30,4.852223,13.712732,4.984239,4,2
grid38,30,7.763743,6.664204,0.394689,4,1
grid12,30,4.086467,49.550667,33.073142,6,4
grid29,30,19.386183,24.397891,8.032534,4,2
grid30,30,3.421053,18.711964,5.358869,5,2
grid34,30,2.513784,16.321483,0.938355,5,1
airport34,30,29.767961,106.756026,83.970284,8,6
grid43,30,7.889633,17.921611,10.229707,5,3
grid37,30,38.087719,39.763561,24.838461,6,5
airport0,30,79.884291,126.957688,30.530488,5,2
grid47,30,3.210526,9.119344,0.890260,4,1
airport49,30,58.723758,123.743891,91.678637,5,4
grid42,30,16.897097,38.703767,1.170964,5,1
grid20,30,2.569702,85.753454,0.842131,9,1
grid49,30,4.687748,18.243031,13.399951,4,3
grid44,30,2.408438,49.361569,2.168367,5,1
grid48,30,1.631579,38.712266,26.149788,9,6
grid50,30,2.210526,36.341074,15.114408,6,3
grid56,30,28.654415,11.668971,5.392205,6,4
grid53,30,10.557965,37.505301,11.475635,4,2
grid55,30,5.540635,36.144231,36.079201,5,5
grid57,30,2.736842,29.728983,0.622348,6,1
grid59,30,3.125731,8.714982,2.947716,4,2
grid58,30,2.368421,51.412461,8.713075,6,2
grid54,30,0.947368,89.546223,10.767581,10,2
grid3,30,1.373028,145.796903,15.748103,18,3
grid39,30,29.838770,154.567954,74.461573,6,4
grid35,30,58.399220,168.737857,77.503695,6,4
grid65,30,3.045113,8.788628,6.563417,4,3
grid66,30,3.061487,35.471470,14.645766,4,2
grid63,30,36.685286,67.298034,11.759215,7,3
grid64,30,35.954694,66.122028,45.086718,7,5
grid67,30,2.368421,29.896806,0.564977,9,1
grid69,30,3.187970,21.688754,0.844586,7,1
grid70,30,4.085213,22.573646,8.081836,4,2
grid72,30,3.848057,17.750786,1.245903,5,1
airport19,30,69.160457,368.333952,267.748045,12,9
grid74,30,3.111653,17.620653,5.552084,5,2
grid73,30,10.242309,44.977461,10.080770,7,2
grid33,30,58.933984,321.836562,265.139161,11,9
grid80,30,3.875618,18.590210,2.208809,4,1
grid60,30,3.743025,217.602199,1.945169,13,1
grid76,30,2.169591,59.881852,37.706489,9,6
airport98,30,1.253401,392.377393,382.897210,19,16
grid81,30,3.621387,18.226235,5.990071,4,2
grid22,30,10.359571,394.199615,1.954924,14,1
grid32,30,5.931118,389.082962,36.202966,20,3
grid85,30,1.352548,37.283544,11.643047,5,2
grid87,30,2.368421,64.296955,7.457174,10,2
grid52,30,3.290727,397.199404,1.552098,21,1
grid5,30,3.526316,335.956930,1.103497,11,1
grid78,30,62.669661,175.116648,139.243315,7,6
grid84,30,81.199777,137.299142,68.485849,6,4
grid91,30,2.921053,21.322774,6.250616,7,3
grid8,30,3.639787,45.050349,1.016706,11,1
grid71,30,15.146746,261.100430,261.000116,9,9
grid90,30,1.474716,46.702630,17.332556,7,3
grid96,30,1.894737,8.375071,3.210783,4,2
grid94,30,3.188218,26.394958,1.925604,4,1
grid97,30,40.456140,9.469460,9.439379,6,6
grid99,30,3.384932,10.749916,0.820921,5,1
grid9,30,4.400025,18.131563,8.563015,4,2
grid93,30,4.721850,64.334501,64.244153,6,6
metroplex11,30,3.897242,19.012970,4.319389,6,2
metroplex13,30,5.956005,17.820066,15.765892,9,8
metroplex12,30,6.319707,22.436088,3.815873,4,1
grid88,30,6.020050,179.979718,98.168106,10,4
grid24,30,1.812513,600.447767,1.454147,21,1
grid4,30,14.238291,536.943229,11.817698,21,3
grid95,30,7.054284,82.408639,10.167349,11,3
metroplex18,30,4.364838,9.091190,3.731455,5,2
metroplex21,30,1.684211,2.558658,1.852820,4,3
metroplex17,30,6.110753,18.279516,12.254171,6,4
metroplex20,30,1.789474,20.666237,1.088674,6,1
metroplex23,30,9.185671,7.837339,3.601181,4,2
metroplex25,30,60.857652,3.609427,1.863029,6,4
metroplex26,30,3.508772,3.476115,1.553782,4,2
grid17,30,64.241914,651.944834,353.040343,17,10
metroplex28,30,3.530074,3.927987,0.460516,5,1
metroplex22,30,3.234088,28.719169,4.056133,9,2
metroplex27,30,12.586219,15.218477,12.263922,7,5
metroplex29,30,3.690154,13.178519,5.823182,4,2
metroplex2,30,4.263158,10.967101,5.982508,7,4
metroplex32,30,13.072420,9.628660,7.033331,7,5
grid62,30,3.006527,489.331527,23.591974,21,4
metroplex31,30,3.874842,17.298219,3.728966,8,2
metroplex33,30,2.162907,9.655041,4.179300,4,2
metroplex38,30,3.360902,3.714427,2.205502,5,3
metroplex34,30,4.322139,14.385205,11.224532,7,5
metroplex40,30,5.041607,5.635436,2.209437,5,2
metroplex3,30,15.104159,33.156886,33.089228,6,6
metroplex1,30,9.822133,107.181824,3.047238,10,1
metroplex43,30,4.709273,7.832121,0.817989,6,1
metroplex14,30,128.368330,125.689553,62.696353,6,4
grid45,30,6.989038,681.195742,9.660908,21,2
metroplex46,30,5.015038,24.673443,3.683636,9,2
metroplex44,30,97.706741,43.966671,22.156256,6,4
metroplex51,30,2.631579,10.620151,0.795987,4,1
metroplex42,30,21.562857,82.343778,48.256737,6,4
grid98,30,60.960793,264.192597,71.612117,9,4
metroplex56,30,3.724311,3.547694,1.503846,4,2
metroplex57,30,5.833580,6.217402,2.553339,5,2
metroplex24,30,5.644110,196.981752,44.709384,9,3
metroplex10,30,5.072682,272.852637,76.144175,13,4
metroplex59,30,5.890933,2.995938,2.414335,5,4
grid36,30,1.951417,807.492857,1.424297,21,1
grid10,30,5.171383,850.769754,3.799542,21,1
metroplex61,30,2.604010,7.717404,4.371279,5,3
metroplex5,30,8.095238,12.787650,6.082134,4,2
metroplex65,30,5.322638,3.597891,1.665688,4,2
grid79,30,4.220820,517.387924,56.895130,21,5
metroplex64,30,4.858020,8.533626,5.836324,6,4
metroplex63,30,4.571047,15.639784,8.608253,5,3
metroplex67,30,32.368395,3.482925,1.970291,7,5
metroplex68,30,13.581504,6.138184,0.793264,8,1
metroplex15,30,253.258352,252.429031,125.838383,9,5
metroplex70,30,3.263158,5.716445,0.731366,4,1
metroplex74,30,2.561404,2.980933,1.245781,4,2
metroplex73,30,7.043274,6.840745,3.366540,4,2
grid86,30,123.747442,467.688132,274.644386,14,9
metroplex75,30,3.886391,8.784832,4.879777,5,3
metroplex7,30,2.650823,9.805306,4.154941,4,2
grid51,30,7.722593,801.411626,2.741758,21,1
metroplex66,30,5.904762,35.020206,26.840655,4,3
metroplex45,30,70.633549,159.409701,159.354903,7,7
metroplex81,30,5.247222,14.759006,11.009050,7,5
metroplex84,30,2.894737,4.740635,3.350071,4,3
metroplex53,30,30.765624,132.459332,99.238563,7,6
metroplex83,30,3.470620,15.408012,8.584371,5,3
metroplex88,30,3.842105,10.250693,8.044719,5,4
metroplex8,30,3.052632,4.541431,1.925059,4,2
metroplex69,30,5.284954,50.309973,0.532349,8,1
grid89,30,15.635450,426.220523,63.090771,13,2
metroplex92,30,29.378022,4.967828,2.177115,4,2
metroplex93,30,2.894737,8.339372,2.911262,5,2
metroplex62,30,3.473684,80.587440,1.469957,7,1
metroplex54,30,13.325815,149.913258,80.324617,7,3
metroplex97,30,4.914098,5.855582,1.088354,7,2
metroplex95,30,9.398387,19.217086,1.325940,8,1
metroplex91,30,44.522234,26.746027,21.311842,6,5
metroplex99,30,4.556391,9.938464,5.458314,5,3
metroplex9,30,5.711425,6.773043,2.896661,4,2
metroplex30,30,7.416252,269.232319,18.865984,10,1
grid83,30,4.674328,562.101361,6.810213,20,1
metroplex39,30,5.100251,264.535413,3.119029,9,1
grid82,30,4.145646,594.749916,1.861611,21,1
metroplex90,30,5.769424,93.771804,2.769599,6,1
grid61,30,4.856095,813.634762,41.513556,21,2
metroplex98,30,117.965321,142.507027,70.555086,6,4
metroplex94,30,43.678851,208.279492,173.322899,8,7
metroplex86,30,103.250071,240.818435,101.985400,9,5
metroplex4,30,14.151665,576.140434,36.819380,21,2
metroplex58,30,40.275715,536.904889,269.216624,18,10
metroplex55,30,9.569832,699.512157,498.029659,21,15
metroplex71,30,10.957393,664.788916,369.761510,21,12
metroplex80,30,35.494824,670.440092,413.112094,21,13
metroplex89,30,285.017986,690.370061,690.332001,21,21
metroplex82,30,564.746844,784.335790,549.321420,21,15
airport25,30,0.684211,2.287517,0.307185,4,1
airport20,30,1.210526,3.738129,1.484798,4,2
airport21,30,0.631579,4.048166,0.475986,4,1
airport28,30,1.080394,3.974507,0.416202,4,1
airport18,30,1.157895,4.500469,0.422661,4,1
airport2,30,1.157895,4.167497,0.312866,4,1
airport15,30,1.210526,5.022502,0.454119,4,1
airport27,30,1.263158,6.305615,0.472237,4,1
airport13,30,0.848008,6.628152,0.428553,4,1
airport30,30,0.927372,4.072341,0.351468,4,1
airport17,30,1.210526,6.753107,0.896487,4,1
airport16,30,0.684211,6.786212,0.618800,4,1
airport14,30,1.000000,7.637119,0.481679,4,1
airport11,30,1.052632,7.976616,0.592591,4,1
airport19,30,1.000000,7.964745,0.569469,4,1
airport0,30,1.052632,9.157062,0.669088,4,1
airport32,30,0.947368,4.619240,0.340644,4,1
airport38,30,0.842105,2.276715,0.185031,4,1
airport1,30,1.421053,9.678234,0.798489,4,1
airport40,30,1.157895,3.416363,0.441708,4,1
airport29,30,1.473684,10.352523,0.647716,4,1
airport34,30,0.842105,6.015928,0.560561,4,1
airport10,30,0.947368,11.333531,0.775272,4,1
airport24,30,0.947368,11.322251,0.744813,4,1
airport43,30,1.894737,3.657980,0.255999,4,1
airport31,30,1.105263,8.587655,0.708672,4,1
airport41,30,0.315789,4.800804,0.451990,4,1
airport47,30,0.783784,3.530048,0.386652,4,1
airport4,30,0.788046,2.860375,0.263473,4,1
airport37,30,1.157895,7.356569,0.585915,4,1
airport50,30,1.473684,3.689080,0.366161,4,1
airport44,30,1.105263,6.389872,0.384091,4,1
airport12,30,0.789474,15.213612,0.829699,4,1
airport45,30,1.368421,5.989363,0.590773,4,1
airport33,30,0.684211,10.981013,0.685797,4,1
airport49,30,1.421053,6.211453,2.694188,4,2
airport36,30,0.315789,11.459712,0.943894,4,1
airport56,30,0.894737,3.604771,0.388739,4,1
airport52,30,1.157895,5.204193,0.517954,4,1
airport35,30,0.105263,12.046477,1.000574,4,1
airport3,30,0.631579,10.369420,0.892999,4,1
airport59,30,1.421053,2.969290,0.425833,4,1
airport58,30,1.105263,3.326302,0.321256,4,1
airport57,30,1.473684,4.520828,0.471482,4,1
airport48,30,1.315789,8.723594,0.659900,4,1
airport55,30,0.631579,5.873277,0.587668,4,1
airport39,30,1.421053,13.002233,0.732859,4,1
airport67,30,0.788048,3.175473,0.350472,4,1
airport54,30,0.473684,8.135107,0.659477,4,1
airport68,30,1.263158,3.221450,0.322657,4,1
airport61,30,1.157895,5.070129,0.427640,4,1
airport72,30,0.789474,3.055803,0.299937,4,1
airport53,30,1.315856,9.577463,0.795786,4,1
airport64,30,0.842105,4.845461,0.414822,4,1
airport51,30,1.526316,10.329546,0.740942,4,1
airport5,30,1.263158,6.616430,0.532787,4,1
airport60,30,1.157895,6.992441,0.519456,4,1
airport63,30,1.263158,6.512696,0.621065,4,1
airport65,30,1.000000,6.191314,0.428456,4,1
airport74,30,1.210526,4.041612,0.326121,4,1
airport78,30,1.000000,3.244098,0.386900,4,1
airport62,30,0.947368,9.786581,0.789861,4,1
airport73,30,1.289907,6.752272,0.663035,4,1
airport66,30,1.789474,8.468334,0.704465,4,1
airport81,30,0.842105,4.307983,0.435511,4,1
airport71,30,0.947368,8.354039,0.628023,4,1
airport80,30,1.000000,5.614785,0.516707,4,1
airport75,30,1.660537,7.060658,0.501035,4,1
airport84,30,1.000000,5.029120,0.343150,4,1
airport76,30,1.105263,7.205588,0.687120,4,1
