instance,timeLim,opt,totalTime,bestTime,nIter,optIter
airport1,30,0.421053,6.958434,0.581690,4,1
airport23,30,1.315789,7.669851,0.585506,4,1
airport25,30,4.428571,8.504869,1.240585,4,1
airport17,30,1.157895,9.236177,0.591340,4,1
airport13,30,1001.578947,8.728241,0.442588,4,1
airport19,30,1001.736842,9.272228,0.734002,4,1
airport27,30,1001.473684,10.287071,0.604059,4,1
airport24,30,8001.842105,10.091347,0.538394,4,1
airport0,30,1002.418546,10.683423,0.708464,4,1
airport15,30,1000.052632,11.234334,0.667882,4,1
airport11,30,1.681704,10.877234,0.745550,4,1
airport18,30,1.684211,11.912886,0.583263,4,1
airport16,30,1.997494,11.513894,4.243451,4,2
airport20,30,2.776942,11.176524,0.868676,4,1
airport22,30,1001.210526,13.071997,0.643713,4,1
airport26,30,1001.947368,13.625918,5.003484,4,2
airport10,30,3.431078,13.143256,0.635447,4,1
airport21,30,2.052632,14.343937,1.359666,4,1
airport12,30,2001.105263,15.186909,1.355332,4,1
airport14,30,1.095238,19.363252,1.260378,4,1
airport41,30,1.681704,4.292301,0.338091,4,1
airport28,30,1.105263,10.125075,0.902245,4,1
airport2,30,1001.473684,9.779173,0.590227,4,1
airport30,30,1001.473684,9.330485,0.741495,4,1
airport31,30,1.681704,9.663315,0.845169,4,1
airport32,30,1001.105263,9.052514,0.629390,4,1
airport29,30,1001.473684,13.715986,0.782649,4,1
airport38,30,1.105263,9.297148,0.697521,4,1
airport37,30,0.333333,10.014555,0.797076,4,1
airport42,30,1001.631579,7.609853,0.530883,4,1
airport36,30,1.105263,10.331142,1.054233,4,1
airport3,30,1001.526316,9.836075,0.682102,4,1
airport40,30,1.315789,11.238926,0.783471,4,1
airport34,30,1.892231,12.643152,6.141605,4,2
airport33,30,2001.105263,13.762967,1.085417,4,1
airport39,30,1.421053,13.238335,0.592539,4,1
airport43,30,1001.315789,10.644282,0.900737,4,1
airport35,30,1.491228,15.334939,0.852871,4,1
airport44,30,1001.210526,7.623356,0.669504,4,1
airport45,30,1.200501,9.347662,0.695283,4,1
airport52,30,1.842105,7.694610,0.764348,4,1
airport51,30,1.789474,10.247575,0.759228,4,1
airport49,30,1.315789,10.666711,0.986045,4,1
airport4,30,1001.210526,11.259835,0.883609,4,1
airport55,30,4001.105263,8.058111,0.578195,4,1
airport47,30,1.842105,13.895977,5.825843,4,2
airport46,30,1.105263,15.180353,7.194399,4,2
airport54,30,2001.105263,7.486599,0.763660,4,1
airport48,30,2.210526,16.270829,1.052995,4,1
airport53,30,1.095238,12.543605,0.752886,4,1
airport58,30,2001.105263,9.889641,0.930581,4,1
airport61,30,1001.157895,7.405657,0.499019,4,1
airport50,30,1.105263,16.686173,0.874525,4,1
airport56,30,1001.105263,13.133778,0.676637,4,1
airport59,30,1001.681704,12.681226,4.862584,4,2
airport5,30,1.681704,11.522669,0.986272,4,1
airport57,30,1002.052632,11.215763,0.947297,4,1
airport62,30,1001.473684,12.175151,0.812952,4,1
airport63,30,1001.681704,8.520447,0.879008,4,1
airport60,30,1.105263,16.282485,1.087790,4,1
airport64,30,1001.681704,7.142479,3.090896,4,2
airport66,30,1002.105263,9.663742,0.619342,4,1
airport68,30,1001.421053,9.006119,0.474147,4,1
airport67,30,1002.892231,12.266048,4.648798,4,2
airport72,30,1.421053,8.469256,0.737802,4,1
airport69,30,3.260652,10.880471,1.131717,4,1
airport71,30,2.007519,8.758755,8.743754,4,4
airport65,30,1001.105263,17.126148,1.026204,4,1
airport75,30,1001.157895,7.450658,0.640753,4,1
airport73,30,0.761905,12.390605,1.112315,4,1
airport7,30,1001.105263,8.099337,0.634066,4,1
airport76,30,1001.681704,12.495683,1.148739,4,1
airport80,30,1.734336,8.922791,1.143625,4,1
airport6,30,1.842105,15.006516,0.990276,4,1
airport78,30,2002.428571,12.877150,0.956886,4,1
airport74,30,1002.293233,14.171669,9.866848,4,3
airport77,30,3.260652,12.083365,1.007373,4,1
airport81,30,1.105263,8.815630,0.607438,4,1
airport82,30,1.681704,11.059021,5.182018,4,2
airport83,30,1.894737,9.425264,0.633569,4,1
