instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex10nDr0nDe2,30,4.944836,0.439137,0.094883,4,1
metroplex14nDr0nDe2,30,5.694236,0.458781,0.105830,4,1
metroplex23nDr0nDe2,30,11.130326,0.348803,0.084626,4,1
metroplex13nDr0nDe1,30,11.055138,0.511222,0.274439,4,2
metroplex19nDr0nDe2,30,4.157895,0.466883,0.096218,4,1
metroplex20nDr0nDe1,30,3.310777,0.860522,0.152372,4,1
airport13nDr0nDe1,30,1.305764,0.388445,0.061985,4,1
metroplex19nDr0nDe3,30,4.220551,1.050008,0.217771,4,1
metroplex17nDr0nDe3,30,104.481203,1.053862,0.581121,5,3
airport14nDr0nDe2,30,1.518797,0.598442,0.077789,4,1
airport23nDr0nDe2,30,1.466165,0.789705,0.096132,4,1
metroplex17nDr0nDe2,30,4.421053,1.575247,0.177007,4,1
metroplex20nDr0nDe2,30,12.531328,1.945425,0.311938,4,1
metroplex27nDr0nDe3,30,9.205514,1.895556,0.342342,4,1
metroplex12nDr0nDe3,30,11.508772,2.272366,0.238674,5,1
metroplex12nDr0nDe2,30,8.894737,2.041010,0.893462,4,2
airport17nDr0nDe3,30,3.822055,0.394703,0.065510,4,1
airport20nDr0nDe1,30,3.378446,0.852941,0.100679,4,1
metroplex27nDr0nDe1,30,3.954887,2.246061,1.005591,4,2
airport19nDr0nDe3,30,1.646617,0.402275,0.064880,4,1
grid14nDr0nDe2,30,2.842105,0.449755,0.082853,4,1
metroplex1nDr0nDe3,30,10.112782,2.701883,1.071404,4,2
metroplex13nDr0nDe3,30,7.674185,2.537639,1.130643,4,2
metroplex0nDr0nDe1,30,3.298246,2.686029,1.883472,4,3
metroplex1nDr0nDe1,30,11.250627,2.526298,1.095460,4,2
grid13nDr0nDe1,30,5.932331,1.094409,1.069474,4,4
metroplex22nDr0nDe3,30,15.847118,2.737481,1.124654,4,2
metroplex27nDr0nDe2,30,6.300752,2.043442,0.942504,4,2
metroplex13nDr0nDe2,30,43.867168,4.009570,0.946972,5,2
metroplex17nDr0nDe1,30,2.904762,3.147080,0.333468,4,1
metroplex22nDr0nDe1,30,4.476190,3.561667,1.405662,4,2
grid17nDr0nDe3,30,7.912281,1.079427,0.180820,4,1
grid20nDr0nDe1,30,3.375940,0.931004,0.128419,4,1
airport20nDr0nDe2,30,3.568922,0.740176,0.124296,4,1
metroplex14nDr0nDe3,30,9.300752,4.158268,0.619812,4,1
airport17nDr0nDe2,30,1.476190,1.606035,0.147444,4,1
airport27nDr0nDe1,30,1.075188,0.802823,0.093357,4,1
grid19nDr0nDe3,30,7.511278,2.308626,1.123081,4,2
metroplex26nDr0nDe1,30,2.488722,5.043347,1.498110,4,2
metroplex18nDr0nDe1,30,5.147870,4.964994,1.975600,4,2
metroplex0nDr0nDe2,30,11.822055,5.442836,3.657185,4,3
metroplex12nDr0nDe1,30,7.842105,4.845791,0.267317,9,1
airport1nDr0nDe1,30,0.979950,0.687230,0.089754,4,1
airport0nDr0nDe1,30,1.075188,0.705243,0.074861,4,1
airport27nDr0nDe3,30,2.754386,2.382928,0.208714,4,1
metroplex22nDr0nDe2,30,4.661654,5.663109,0.341985,5,1
airport17nDr0nDe1,30,1.200501,0.620791,0.090105,4,1
grid20nDr0nDe2,30,10.180451,2.220258,0.322779,4,1
grid17nDr0nDe2,30,6.481203,1.538413,0.184904,4,1
airport19nDr0nDe2,30,2.120301,7.215709,0.521883,4,1
airport22nDr0nDe3,30,1.593985,2.060642,0.148645,4,1
metroplex29nDr0nDe1,30,3.090226,2.134925,0.795812,4,2
airport13nDr0nDe2,30,3.832080,1.709130,0.151367,4,1
metroplex26nDr0nDe2,30,14.857143,9.471198,4.161948,4,2
grid27nDr0nDe1,30,3.769424,2.823398,1.533445,4,2
airport10nDr0nDe2,30,1.115288,8.545666,0.856775,4,1
metroplex29nDr0nDe2,30,4.037594,2.992629,0.363273,4,1
airport22nDr0nDe1,30,1.270677,2.146358,0.196405,4,1
airport12nDr0nDe2,30,1.471178,6.581047,0.363424,4,1
airport18nDr0nDe1,30,1.548872,0.493043,0.079379,4,1
airport22nDr0nDe2,30,1.581454,0.631316,0.083285,4,1
airport29nDr0nDe1,30,1.295739,0.880917,0.084507,4,1
airport27nDr0nDe2,30,1.902256,3.945167,0.265025,4,1
grid0nDr0nDe1,30,3.498747,4.829497,0.367962,4,1
grid13nDr0nDe2,30,6.686717,1.745023,0.301773,4,1
metroplex28nDr0nDe3,30,13.598997,5.668367,2.487271,4,2
metroplex26nDr0nDe3,30,6.521303,12.418609,5.034689,4,2
airport1nDr0nDe3,30,2.278195,7.518045,0.510557,4,1
airport29nDr0nDe2,30,1.223058,0.747262,0.102398,4,1
metroplex18nDr0nDe3,30,6.849624,12.660080,9.349470,7,5
grid22nDr0nDe3,30,4.969925,3.582443,1.408481,4,2
metroplex2nDr0nDe2,30,4.774436,1.729020,0.808735,4,2
grid29nDr0nDe1,30,2.543860,1.537406,0.236351,4,1
grid22nDr0nDe1,30,3.466165,2.296482,0.853240,4,2
grid17nDr0nDe1,30,3.042607,5.235950,0.368589,6,1
metroplex21nDr0nDe1,30,1.887218,14.041911,1.133767,4,1
metroplex11nDr0nDe1,30,90.448622,16.608276,14.157231,8,7
airport2nDr0nDe1,30,2.017544,5.430368,0.351989,4,1
metroplex30nDr0nDe1,30,36.298246,1.293641,0.446537,6,3
airport13nDr0nDe3,30,3.000000,10.873326,1.141015,4,1
grid23nDr0nDe2,30,3.972431,12.636569,4.943644,4,2
grid18nDr0nDe1,30,4.441103,5.956999,2.562787,4,2
airport30nDr0nDe1,30,0.822055,0.566482,0.096279,4,1
metroplex30nDr0nDe2,30,7.155388,1.860554,0.281715,4,1
grid29nDr0nDe2,30,5.017544,3.905087,0.509538,4,1
metroplex28nDr0nDe1,30,5.092732,17.901116,6.583997,6,3
airport0nDr0nDe2,30,1.433584,8.033775,0.558621,4,1
metroplex31nDr0nDe1,30,8.749373,1.741173,0.805239,4,2
airport30nDr0nDe2,30,1.393484,0.661838,0.118220,4,1
airport2nDr0nDe2,30,1.972431,4.567952,0.310720,4,1
airport12nDr0nDe1,30,0.884712,4.336833,0.296524,4,1
grid27nDr0nDe2,30,6.596491,5.643163,0.616652,4,1
metroplex19nDr0nDe1,30,4.315789,12.475579,1.204649,5,1
airport26nDr0nDe1,30,0.964912,9.851037,0.778603,4,1
metroplex16nDr0nDe3,30,8.894737,19.769661,8.186248,4,2
metroplex25nDr0nDe2,30,9.150376,20.471697,13.224927,4,3
grid12nDr0nDe2,30,9.578947,5.802173,4.145224,4,3
metroplex31nDr0nDe3,30,7.385965,0.555337,0.120454,4,1
airport26nDr0nDe2,30,1.380952,5.215139,0.392870,4,1
airport26nDr0nDe3,30,2.568922,0.555325,0.092257,4,1
metroplex30nDr0nDe3,30,9.791980,3.391245,1.364494,4,2
metroplex15nDr0nDe3,30,7.957393,21.247605,8.298467,4,2
metroplex15nDr0nDe2,30,6.982456,21.946694,14.706653,4,3
metroplex32nDr0nDe1,30,5.576441,0.509296,0.118173,4,1
grid22nDr0nDe2,30,14.213033,5.656120,0.633232,5,1
grid30nDr0nDe1,30,5.611529,4.648547,1.983658,4,2
airport28nDr0nDe3,30,3.501253,5.572348,0.355157,4,1
airport32nDr0nDe1,30,0.822055,0.798340,0.142850,4,1
airport31nDr0nDe3,30,6.736842,2.423755,0.270831,4,1
grid2nDr0nDe1,30,2.714286,4.825013,0.281411,6,1
airport18nDr0nDe3,30,5.583960,1.627384,0.233409,4,1
metroplex28nDr0nDe2,30,10.578947,18.570866,8.403568,4,2
airport12nDr0nDe3,30,2.157895,5.659876,0.446106,4,1
airport31nDr0nDe1,30,1.107769,4.641086,0.418751,4,1
metroplex31nDr0nDe2,30,13.802005,4.925459,0.506674,5,1
metroplex29nDr0nDe3,30,11.443609,13.161794,0.876289,6,1
metroplex1nDr0nDe2,30,17.019458,15.016188,10.831149,5,3
airport30nDr0nDe3,30,1.909774,1.384524,0.190513,4,1
grid27nDr0nDe3,30,12.741855,13.223103,0.480347,7,1
airport11nDr0nDe1,30,1.295739,7.341638,0.572915,4,1
metroplex2nDr0nDe3,30,12.230576,11.696635,8.630749,5,3
grid30nDr0nDe2,30,2.551378,5.734073,0.344460,6,1
grid13nDr0nDe3,30,8.553885,2.368508,0.359599,4,1
metroplex16nDr0nDe1,30,17.160401,31.604094,19.745456,5,3
grid30nDr0nDe3,30,5.380952,0.559137,0.119641,4,1
metroplex14nDr0nDe1,30,1.631579,28.568295,2.687864,5,1
grid31nDr0nDe1,30,3.942356,0.761882,0.157330,4,1
metroplex32nDr0nDe3,30,9.541353,3.597959,1.756324,4,2
grid26nDr0nDe3,30,5.756892,6.441711,0.717300,4,1
grid12nDr0nDe1,30,3.288221,4.943896,1.532903,4,2
airport14nDr0nDe3,30,2.904762,19.945362,1.917619,4,1
grid1nDr0nDe1,30,9.245614,7.520483,0.784690,5,1
grid19nDr0nDe2,30,9.250627,10.135776,0.867920,6,1
metroplex33nDr0nDe3,30,11.849624,3.316639,1.618715,5,3
airport32nDr0nDe3,30,1.593985,0.674877,0.116284,4,1
airport29nDr0nDe3,30,1.699248,0.993838,0.121898,4,1
grid32nDr0nDe1,30,3.556391,6.424380,0.399963,6,1
grid10nDr0nDe2,30,5.453634,14.812260,6.557893,4,2
airport19nDr0nDe1,30,1.032581,2.946984,0.195465,4,1
airport31nDr0nDe2,30,1.393484,4.461430,0.395248,4,1
grid32nDr0nDe3,30,9.546366,1.823350,0.169377,6,1
airport33nDr0nDe3,30,2.796992,1.573892,0.181880,4,1
grid0nDr0nDe2,30,2.982456,11.202731,1.126492,4,1
grid26nDr0nDe2,30,3.591479,10.797068,7.844317,4,3
grid12nDr0nDe3,30,3.020050,5.279137,2.253345,4,2
airport21nDr0nDe1,30,0.476190,11.293616,0.898187,4,1
airport2nDr0nDe3,30,1.107769,0.594182,0.088529,4,1
grid31nDr0nDe2,30,9.676692,1.864151,0.804343,4,2
airport16nDr0nDe3,30,1.909774,4.473980,0.450423,4,1
airport28nDr0nDe1,30,8.949875,10.569828,0.678183,4,1
grid31nDr0nDe3,30,7.100251,8.964667,0.773255,6,1
metroplex24nDr0nDe2,30,7.942356,35.165906,23.682824,4,3
grid33nDr0nDe3,30,15.250627,4.543274,2.101077,4,2
metroplex36nDr0nDe1,30,6.476190,3.975387,0.494206,4,1
metroplex18nDr0nDe2,30,16.182957,39.609515,19.064486,5,2
metroplex36nDr0nDe2,30,6.315789,5.988769,0.729985,4,1
grid11nDr0nDe1,30,2.832080,7.717342,0.506365,5,1
metroplex36nDr0nDe3,30,10.062657,5.659233,2.354902,4,2
metroplex23nDr0nDe1,30,7.541353,40.564697,33.180605,5,4
metroplex33nDr0nDe1,30,1.997494,11.087776,1.251763,4,1
grid18nDr0nDe3,30,9.007519,10.849794,4.010957,4,2
grid2nDr0nDe2,30,17.438596,18.351190,0.863329,8,1
metroplex33nDr0nDe2,30,5.285714,16.184228,0.787179,5,1
metroplex21nDr0nDe3,30,16.754386,60.600609,21.652693,7,3
grid2nDr0nDe3,30,10.355890,6.542934,0.713727,4,1
airport28nDr0nDe2,30,1.909774,7.438943,0.463449,4,1
metroplex24nDr0nDe3,30,11.528822,45.583462,23.646934,5,3
airport25nDr0nDe2,30,6.780581,12.283031,5.505115,4,2
metroplex15nDr0nDe1,30,8.754386,43.536258,19.602970,4,2
metroplex24nDr0nDe1,30,3.015038,46.380695,12.821333,6,2
grid26nDr0nDe1,30,3.556391,11.248284,0.469943,6,1
airport36nDr0nDe3,30,2.172932,0.771459,0.078029,4,1
airport36nDr0nDe2,30,1.508772,3.162687,0.295656,4,1
airport16nDr0nDe1,30,0.285714,6.511425,0.558934,4,1
airport15nDr0nDe3,30,1.761905,12.260056,1.184889,4,1
grid19nDr0nDe1,30,5.674185,12.863618,6.156718,6,3
metroplex21nDr0nDe2,30,16.508772,46.248614,35.036113,4,3
airport36nDr0nDe1,30,3.939850,6.249412,1.754952,4,2
airport1nDr0nDe2,30,1.476190,5.151836,0.358182,4,1
airport15nDr0nDe2,30,1.476190,14.895374,1.430857,4,1
metroplex38nDr0nDe3,30,11.448622,10.364966,4.382071,5,2
airport33nDr0nDe1,30,1.443609,3.371284,0.374848,4,1
grid36nDr0nDe3,30,6.994987,6.375132,4.788176,4,3
grid36nDr0nDe2,30,7.355890,6.313304,0.593471,4,1
metroplex23nDr0nDe3,30,12.139759,54.271832,28.955031,4,2
airport33nDr0nDe2,30,1.889724,6.923326,0.432726,4,1
grid36nDr0nDe1,30,5.639098,1.287725,0.591274,4,2
metroplex3nDr0nDe2,30,6.674185,7.449718,3.469130,4,2
metroplex40nDr0nDe1,30,6.736842,3.500901,1.698586,4,2
grid28nDr0nDe1,30,6.100251,14.717838,6.584189,4,2
grid33nDr0nDe1,30,3.255639,1.080698,0.200151,4,1
metroplex40nDr0nDe3,30,7.365915,0.870287,0.462530,4,2
airport38nDr0nDe3,30,1.646617,1.743529,0.177263,4,1
metroplex25nDr0nDe3,30,10.769424,42.837696,2.340593,6,1
metroplex35nDr0nDe1,30,2.659148,22.883722,10.298429,4,2
grid28nDr0nDe3,30,11.235589,25.754091,2.263480,5,1
metroplex39nDr0nDe2,30,9.629073,13.876341,2.700169,5,1
airport40nDr0nDe1,30,1.370927,1.107494,0.128367,4,1
grid38nDr0nDe3,30,5.624060,1.799829,0.313816,4,1
metroplex3nDr0nDe3,30,135.917293,6.198842,4.693248,7,6
airport40nDr0nDe3,30,1.631579,2.191635,0.156146,4,1
metroplex40nDr0nDe2,30,16.458647,6.468929,3.061947,4,2
grid1nDr0nDe2,30,8.333333,8.625480,3.351695,4,2
grid28nDr0nDe2,30,4.588972,13.498217,8.952167,4,3
grid40nDr0nDe1,30,10.310777,3.133478,0.443061,5,1
airport42nDr0nDe1,30,0.937343,1.936462,0.251165,4,1
airport14nDr0nDe1,30,1.761905,21.979875,2.004247,4,1
metroplex38nDr0nDe2,30,12.784461,24.350229,18.505266,4,3
metroplex35nDr0nDe2,30,7.731830,37.851049,9.364837,6,2
grid33nDr0nDe2,30,5.654135,7.172568,2.523850,4,2
airport21nDr0nDe3,30,1.428571,12.626498,0.694075,4,1
grid29nDr0nDe3,30,4.125313,19.420827,2.777347,4,1
airport3nDr0nDe2,30,2.092732,6.971839,0.629179,4,1
airport40nDr0nDe2,30,1.791980,3.078556,0.202741,4,1
metroplex42nDr0nDe3,30,11.486216,1.967333,0.930232,4,2
grid42nDr0nDe1,30,5.002506,3.212756,0.450162,4,1
airport18nDr0nDe2,30,1.634085,8.113513,0.545230,4,1
airport42nDr0nDe3,30,1.804511,0.670601,0.075755,4,1
metroplex43nDr0nDe3,30,6.208020,0.617703,0.175990,4,1
grid16nDr0nDe1,30,2.145363,17.480038,1.692840,4,1
airport24nDr0nDe2,30,1.047619,13.520319,1.120405,4,1
metroplex42nDr0nDe2,30,5.513784,5.061838,2.017186,4,2
metroplex43nDr0nDe2,30,11.571429,3.075612,1.389698,4,2
airport3nDr0nDe3,30,1.428571,11.304707,1.022166,4,1
metroplex0nDr0nDe3,30,14.481203,85.089661,27.279736,4,2
airport24nDr0nDe3,30,1.619048,10.874398,0.802584,4,1
airport24nDr0nDe1,30,0.571429,12.561397,1.505954,4,1
metroplex44nDr0nDe1,30,10.293233,3.885999,0.974541,6,2
airport43nDr0nDe3,30,2.330827,4.381096,0.414430,4,1
