instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex18,30,5.456140,10.653522,9.014734,6,5
metroplex16,30,3.005013,6.907168,6.872285,4,4
metroplex21,30,1.684211,2.160239,1.016862,4,2
metroplex1,30,3.557756,11.389703,6.577378,4,2
metroplex17,30,3.273191,11.361184,1.186726,5,1
metroplex20,30,1.789474,11.114479,5.986680,4,2
grid90,30,1.000000,17.446641,7.241740,4,2
metroplex22,30,2.145363,9.120556,4.203479,4,2
metroplex25,30,2.421053,4.156361,0.805984,9,2
metroplex23,30,2.052632,17.598793,13.111922,8,5
grid61,30,1.684211,25.015696,2.004985,5,1
metroplex26,30,3.508772,3.119860,1.347668,4,2
metroplex27,30,2.182957,4.551901,2.189577,4,2
metroplex28,30,2.052632,2.699747,1.353767,4,2
metroplex24,30,4.187970,15.497285,8.506996,4,2
grid6,30,2.000000,11.413773,1.490052,4,1
metroplex2,30,5.012531,5.739493,2.917594,4,2
metroplex29,30,2.105263,14.455604,3.384421,4,1
grid98,30,1.736842,17.883389,1.954333,4,1
grid87,30,2.368421,12.959818,0.491335,5,1
metroplex33,30,1.789473,13.098429,0.941541,6,1
metroplex34,30,3.610526,5.466300,3.128185,5,3
metroplex30,30,3.518422,22.321442,17.977743,4,3
metroplex0,30,2.315789,28.882524,1.978528,9,1
metroplex31,30,1.736842,9.169107,1.399895,5,1
airport25,30,0.684211,1.137377,0.188648,4,1
metroplex38,30,2.947368,4.000802,2.257409,6,3
airport28,30,1.080394,1.752918,0.232810,4,1
airport20,30,1.210526,2.005185,0.872143,4,2
airport2,30,1.157895,2.153508,0.202360,4,1
airport15,30,1.210526,2.751283,0.299526,4,1
airport21,30,0.631579,2.752714,0.274116,4,1
airport18,30,1.157895,2.792134,0.326505,4,1
airport13,30,0.848008,4.279947,0.300044,4,1
airport27,30,1.263158,4.731141,0.259177,4,1
airport14,30,1.000000,5.997791,0.542429,4,1
airport30,30,0.927372,4.478550,0.348411,4,1
airport16,30,0.684211,7.262253,0.988260,4,1
airport19,30,1.000000,7.339852,0.647698,4,1
airport11,30,1.052632,9.997071,0.967020,4,1
airport17,30,1.210526,10.382594,1.979801,4,1
airport0,30,1.052632,10.740260,1.044884,4,1
airport1,30,1.421053,10.701615,1.438768,4,1
airport32,30,0.947368,5.490901,0.604199,4,1
airport24,30,0.947368,13.965344,2.420599,4,1
airport38,30,0.842105,2.635441,0.399452,4,1
airport29,30,1.473684,14.813462,1.595161,4,1
metroplex40,30,2.340852,10.769825,8.974416,6,5
airport34,30,0.842105,7.234389,0.561895,4,1
airport10,30,0.947368,15.721755,3.548483,4,1
airport31,30,1.105263,9.603572,1.560657,4,1
metroplex43,30,3.684211,6.102847,6.053016,4,4
airport40,30,1.157895,4.141389,0.591024,4,1
airport41,30,0.315789,4.470184,0.674450,4,1
airport33,30,0.684211,12.217842,2.241405,4,1
airport43,30,1.894737,3.877492,0.376622,4,1
airport47,30,0.783784,4.031186,0.503159,4,1
airport37,30,1.157895,10.412258,2.261320,4,1
airport4,30,0.788046,3.810186,0.423939,4,1
airport44,30,1.105263,6.663184,0.547072,4,1
airport45,30,1.368421,6.917645,1.236246,4,1
airport12,30,0.789474,24.831238,6.746733,4,1
airport36,30,0.315789,15.224123,2.698997,4,1
airport49,30,1.421053,7.506177,1.197454,4,1
airport50,30,1.473684,5.338785,0.357200,4,1
airport3,30,0.631579,12.721195,2.251414,4,1
airport35,30,0.105263,17.489616,3.295558,4,1
airport48,30,1.315789,10.113678,0.723753,4,1
airport39,30,1.421053,16.610992,3.246986,4,1
airport52,30,1.157895,6.892358,0.992327,4,1
airport56,30,0.894737,5.079725,1.068531,4,1
airport58,30,1.105263,3.853586,0.407097,4,1
airport59,30,1.421053,3.302119,0.568690,4,1
airport57,30,1.473684,7.274373,1.180229,4,1
airport55,30,0.631579,9.337090,1.364442,4,1
airport54,30,0.473684,10.877947,1.396351,4,1
metroplex45,30,1.982456,11.202405,8.418318,4,3
airport51,30,1.526316,12.062958,1.847048,4,1
airport61,30,1.157895,6.661264,0.473055,4,1
airport5,30,1.263158,7.634323,0.960157,4,1
airport53,30,1.315856,12.613602,0.811955,4,1
airport67,30,0.788048,3.200093,0.560246,4,1
airport60,30,1.157895,8.485761,0.965975,4,1
airport64,30,0.842105,5.280457,0.517196,4,1
airport68,30,1.263158,4.175973,0.667639,4,1
airport63,30,1.263158,8.766876,1.455639,4,1
airport72,30,0.789474,2.863346,0.328790,4,1
airport65,30,1.000000,6.865922,1.023310,4,1
metroplex44,30,4.774436,17.047866,9.542225,4,2
airport62,30,0.947368,12.662395,1.929490,4,1
grid54,30,0.947368,149.415285,1.671445,12,1
airport74,30,1.210526,4.596309,0.668795,4,1
