instance,timeLim,opt,totalTime,bestTime,nIter,optIter
airport23,30,1.315789,8.423543,0.577626,4,1
airport1,30,0.421053,10.189558,0.605093,4,1
airport25,30,4.428571,9.808799,1.357134,4,1
airport17,30,1.157895,10.735489,0.910997,4,1
airport27,30,1001.473684,9.747444,0.833933,4,1
airport24,30,8001.842105,9.582855,0.565748,4,1
airport19,30,1001.736842,10.987954,0.824503,4,1
airport13,30,1001.578947,12.584104,0.692101,4,1
airport18,30,1.684211,9.298142,0.710423,4,1
airport15,30,1000.052632,11.625107,0.546570,4,1
airport11,30,1.681704,12.335068,1.011442,4,1
airport0,30,1002.418546,13.153984,1.016054,4,1
airport22,30,1001.210526,10.790272,0.714908,4,1
airport16,30,1.997494,11.791468,4.345339,4,2
airport20,30,2.776942,12.116570,1.180735,4,1
airport26,30,1001.947368,11.441604,4.619382,4,2
airport10,30,3.431078,12.874077,1.053325,4,1
airport21,30,2.052632,13.018478,1.249067,4,1
airport12,30,2001.105263,16.446025,1.398959,4,1
airport41,30,1.681704,4.335968,0.421780,4,1
airport14,30,1.095238,18.470472,1.641825,4,1
airport31,30,1.681704,8.397071,0.735676,4,1
airport32,30,1001.105263,8.680335,0.705016,4,1
airport30,30,1001.473684,10.183820,0.821654,4,1
airport2,30,1001.473684,11.049760,0.766902,4,1
airport28,30,1.105263,12.417204,0.753689,4,1
airport38,30,1.105263,7.318079,0.620592,4,1
airport42,30,1001.631579,8.506977,0.715087,4,1
airport37,30,0.333333,11.110809,0.915980,4,1
airport3,30,1001.526316,11.291603,0.631957,4,1
airport36,30,1.105263,11.624888,1.135248,4,1
airport29,30,1001.473684,15.250533,0.750432,4,1
airport40,30,1.315789,11.237312,0.526063,4,1
airport44,30,1001.210526,5.741445,0.439588,4,1
airport43,30,1001.315789,9.803524,0.906514,4,1
airport34,30,1.892231,13.090094,5.972456,4,2
airport39,30,1.421053,12.969770,0.961622,4,1
airport33,30,2001.105263,13.483913,1.318422,4,1
airport35,30,1.491228,15.918328,1.027395,4,1
