instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex14nDr0nDe2,30,5.694236,0.391320,0.082441,4,1
metroplex19nDr0nDe2,30,4.157895,0.324073,0.077957,4,1
metroplex23nDr0nDe2,30,11.130326,0.415202,0.124402,4,1
metroplex13nDr0nDe1,30,11.055138,0.417652,0.208851,4,2
metroplex10nDr0nDe2,30,4.944836,0.567905,0.098159,4,1
metroplex20nDr0nDe1,30,3.310777,0.939475,0.149882,4,1
airport13nDr0nDe1,30,1.305764,0.542323,0.072965,4,1
airport14nDr0nDe2,30,1.518797,0.755236,0.078309,4,1
metroplex17nDr0nDe3,30,98.588972,1.025388,0.572364,5,3
metroplex19nDr0nDe3,30,4.220551,1.094935,0.209720,4,1
airport23nDr0nDe2,30,1.466165,0.918322,0.101147,4,1
metroplex17nDr0nDe2,30,4.421053,1.540714,0.189096,4,1
airport17nDr0nDe3,30,3.822055,0.457259,0.064938,4,1
airport20nDr0nDe1,30,3.378446,0.541601,0.085784,4,1
airport19nDr0nDe3,30,1.646617,0.467828,0.068625,4,1
grid14nDr0nDe2,30,2.842105,0.460218,0.085990,4,1
metroplex20nDr0nDe2,30,12.531328,1.824290,0.248032,4,1
metroplex27nDr0nDe3,30,9.205514,1.966052,0.284731,4,1
metroplex27nDr0nDe1,30,3.954887,1.980652,0.866561,4,2
metroplex12nDr0nDe2,30,8.894737,2.263965,0.975194,4,2
grid13nDr0nDe1,30,5.932331,1.194951,1.178840,4,4
metroplex13nDr0nDe3,30,7.674185,2.687578,1.068368,4,2
metroplex1nDr0nDe3,30,10.112782,3.134144,1.045399,4,2
metroplex0nDr0nDe1,30,3.298246,2.902030,2.058036,4,3
metroplex1nDr0nDe1,30,11.250627,2.948780,1.225192,4,2
airport20nDr0nDe2,30,3.568922,0.816468,0.100132,4,1
grid17nDr0nDe3,30,7.912281,1.628896,0.210018,4,1
airport27nDr0nDe1,30,1.075188,0.923659,0.087133,4,1
grid20nDr0nDe1,30,3.375940,2.147135,0.194483,6,1
metroplex22nDr0nDe3,30,14.957393,3.906930,1.999515,5,3
airport17nDr0nDe2,30,1.476190,1.736489,0.155758,4,1
metroplex27nDr0nDe2,30,6.117794,4.237026,1.045172,6,2
airport0nDr0nDe1,30,1.075188,0.633967,0.072822,4,1
metroplex17nDr0nDe1,30,2.904762,3.696174,0.396565,4,1
airport1nDr0nDe1,30,0.979950,0.792027,0.108808,4,1
grid19nDr0nDe3,30,7.511278,1.774482,0.669966,4,2
metroplex13nDr0nDe2,30,94.644110,5.281178,2.490483,6,4
metroplex14nDr0nDe3,30,9.300752,4.502121,0.719649,4,1
airport17nDr0nDe1,30,1.200501,0.475604,0.067530,4,1
metroplex22nDr0nDe1,30,4.476190,5.341627,1.578999,4,2
airport27nDr0nDe3,30,2.754386,2.112417,0.152821,4,1
metroplex26nDr0nDe1,30,2.488722,4.946867,3.377838,4,3
grid17nDr0nDe2,30,6.481203,1.524509,0.239752,4,1
metroplex0nDr0nDe2,30,11.822055,5.298237,3.989864,4,3
grid20nDr0nDe2,30,10.180451,2.022235,0.287289,4,1
airport22nDr0nDe3,30,1.593985,1.750331,0.214401,4,1
metroplex18nDr0nDe1,30,5.147870,6.741096,2.978086,4,2
metroplex22nDr0nDe2,30,4.661654,5.066842,0.402981,5,1
metroplex29nDr0nDe1,30,3.090226,1.855111,0.845346,4,2
airport13nDr0nDe2,30,3.832080,1.616067,0.202369,4,1
airport18nDr0nDe1,30,1.548872,0.489426,0.066260,4,1
airport22nDr0nDe1,30,1.270677,2.040331,0.180592,4,1
grid27nDr0nDe1,30,3.769424,2.938040,1.162063,4,2
airport22nDr0nDe2,30,1.581454,0.939433,0.128266,4,1
metroplex29nDr0nDe2,30,4.037594,2.826650,0.391888,4,1
airport29nDr0nDe1,30,1.295739,1.385758,0.154944,4,1
airport19nDr0nDe2,30,2.120301,8.468721,0.469689,4,1
airport29nDr0nDe2,30,1.223058,0.981028,0.113374,4,1
grid13nDr0nDe2,30,6.686717,1.830514,0.323925,4,1
airport27nDr0nDe2,30,1.902256,3.947933,0.317154,4,1
airport12nDr0nDe2,30,1.471178,6.019017,0.262881,4,1
metroplex2nDr0nDe2,30,4.774436,1.402977,0.692784,4,2
metroplex12nDr0nDe1,30,7.842105,15.299856,1.165043,10,2
grid29nDr0nDe1,30,2.543860,1.612224,0.255681,4,1
metroplex26nDr0nDe2,30,14.857143,9.504356,9.469518,4,4
grid22nDr0nDe3,30,4.969925,3.562591,1.534313,4,2
airport10nDr0nDe2,30,1.115288,9.975179,0.860325,4,1
grid22nDr0nDe1,30,3.466165,2.562560,1.187977,4,2
metroplex28nDr0nDe3,30,13.598997,6.382536,3.146946,4,2
grid0nDr0nDe1,30,3.498747,6.869016,0.594952,4,1
airport1nDr0nDe3,30,2.278195,7.064774,0.416694,4,1
grid17nDr0nDe1,30,3.042607,5.470818,0.397700,5,1
metroplex12nDr0nDe3,30,11.508772,25.690637,0.242953,9,1
airport30nDr0nDe1,30,0.822055,0.603881,0.106071,4,1
airport2nDr0nDe1,30,2.017544,4.946852,0.423507,4,1
metroplex30nDr0nDe2,30,7.155388,1.720008,0.217946,4,1
metroplex11nDr0nDe1,30,87.476164,5.616690,2.636729,6,4
metroplex31nDr0nDe1,30,8.749373,1.570314,0.832976,4,2
grid29nDr0nDe2,30,5.017544,2.890402,0.467088,4,1
metroplex26nDr0nDe3,30,6.521303,13.194250,5.665817,4,2
airport30nDr0nDe2,30,1.393484,0.693550,0.121663,4,1
metroplex31nDr0nDe3,30,7.385965,0.397052,0.086231,4,1
grid18nDr0nDe1,30,4.441103,6.158212,2.710730,4,2
airport26nDr0nDe3,30,2.568922,0.692398,0.119422,4,1
metroplex18nDr0nDe3,30,12.428571,15.810653,11.268782,4,3
airport2nDr0nDe2,30,1.972431,4.621712,0.329730,4,1
metroplex32nDr0nDe1,30,5.576441,0.541955,0.089477,4,1
airport12nDr0nDe1,30,0.884712,4.559366,0.383085,4,1
airport26nDr0nDe2,30,1.380952,3.723751,0.313173,4,1
airport0nDr0nDe2,30,1.433584,8.094805,0.561724,4,1
metroplex21nDr0nDe1,30,1.887218,15.083725,1.841632,4,1
grid12nDr0nDe2,30,9.578947,5.310057,3.816889,4,3
grid27nDr0nDe2,30,6.596491,6.079882,0.667450,4,1
airport32nDr0nDe1,30,0.822055,0.766590,0.139382,4,1
metroplex30nDr0nDe3,30,9.791980,5.513926,0.460841,5,1
airport13nDr0nDe3,30,3.000000,13.900243,1.110558,4,1
airport31nDr0nDe3,30,6.736842,2.097806,0.211653,4,1
airport18nDr0nDe3,30,5.583960,1.441454,0.222239,4,1
grid30nDr0nDe1,30,5.611529,4.002729,1.670397,4,2
metroplex28nDr0nDe1,30,5.180451,12.468897,12.417751,4,4
grid22nDr0nDe2,30,14.213033,5.550822,0.548834,5,1
airport28nDr0nDe3,30,3.501253,5.534508,0.465180,4,1
grid2nDr0nDe1,30,2.714286,4.102553,0.338518,6,1
airport26nDr0nDe1,30,0.964912,10.986500,0.778842,4,1
airport30nDr0nDe3,30,1.909774,1.459532,0.194350,4,1
airport31nDr0nDe1,30,1.107769,4.694280,0.392720,4,1
metroplex31nDr0nDe2,30,13.802005,3.895306,0.574665,5,1
grid30nDr0nDe3,30,5.380952,0.688487,0.148638,4,1
airport12nDr0nDe3,30,2.157895,6.905346,0.540710,4,1
grid13nDr0nDe3,30,8.553885,2.235353,0.229708,4,1
grid31nDr0nDe1,30,3.942356,0.795173,0.156264,4,1
metroplex19nDr0nDe1,30,4.315789,15.329222,1.055253,5,1
metroplex32nDr0nDe3,30,9.541353,2.973755,2.075391,4,3
metroplex29nDr0nDe3,30,11.443609,8.427581,3.341323,4,2
airport11nDr0nDe1,30,1.295739,6.728308,0.538741,4,1
airport32nDr0nDe3,30,1.593985,0.687188,0.122251,4,1
grid12nDr0nDe1,30,3.288221,5.570829,2.371164,4,2
grid26nDr0nDe3,30,5.756892,5.960358,0.502408,4,1
airport29nDr0nDe3,30,1.699248,0.924588,0.100963,4,1
metroplex33nDr0nDe3,30,12.422967,2.367706,0.963406,4,2
metroplex16nDr0nDe3,30,8.894737,21.164152,8.523136,4,2
metroplex25nDr0nDe2,30,9.150376,21.159379,9.474324,4,2
grid30nDr0nDe2,30,2.551378,9.958920,0.420546,8,1
airport19nDr0nDe1,30,1.032581,2.204168,0.257587,4,1
metroplex15nDr0nDe3,30,7.957393,21.884656,9.423674,4,2
grid27nDr0nDe3,30,12.741855,13.428345,0.800220,7,1
grid32nDr0nDe1,30,3.556391,4.870885,0.469666,4,1
airport33nDr0nDe3,30,2.796992,1.143667,0.152427,4,1
grid32nDr0nDe3,30,9.546366,1.696406,0.199139,6,1
airport31nDr0nDe2,30,1.393484,3.904850,0.408752,4,1
grid19nDr0nDe2,30,9.250627,10.460696,0.563073,5,1
metroplex15nDr0nDe2,30,6.982456,24.600718,17.105073,4,3
metroplex28nDr0nDe2,30,10.578947,20.295610,8.658198,4,2
metroplex2nDr0nDe3,30,20.092732,16.585438,8.672498,4,2
airport2nDr0nDe3,30,1.107769,0.430846,0.063791,4,1
grid31nDr0nDe2,30,9.676692,1.628571,0.546321,4,2
airport14nDr0nDe3,30,2.904762,18.926572,1.930486,4,1
grid12nDr0nDe3,30,3.020050,6.477354,2.141860,4,2
airport16nDr0nDe3,30,1.909774,4.379180,0.494700,4,1
grid26nDr0nDe2,30,3.591479,8.009698,5.749928,4,3
metroplex16nDr0nDe1,30,12.100251,23.449851,14.937532,5,3
grid10nDr0nDe2,30,5.453634,15.403518,5.636663,4,2
grid0nDr0nDe2,30,2.982456,11.202647,1.156115,4,1
grid33nDr0nDe3,30,15.250627,4.369196,1.829311,4,2
airport28nDr0nDe1,30,8.949875,9.761240,0.793189,4,1
metroplex36nDr0nDe1,30,2.759398,6.056252,2.515493,6,3
airport21nDr0nDe1,30,0.476190,14.120141,0.968997,4,1
metroplex14nDr0nDe1,30,1.631579,29.691018,2.715067,5,1
metroplex36nDr0nDe2,30,6.315789,6.154138,1.011352,4,1
grid1nDr0nDe1,30,9.245614,31.501768,0.628372,14,1
metroplex1nDr0nDe2,30,21.367829,37.168609,6.018953,4,1
grid2nDr0nDe2,30,17.438596,6.750967,6.708644,4,4
grid11nDr0nDe1,30,2.832080,9.269103,0.531951,6,1
metroplex36nDr0nDe3,30,8.646617,8.524956,5.103032,5,3
grid2nDr0nDe3,30,10.355890,6.501510,0.675921,4,1
airport36nDr0nDe3,30,2.172932,0.602918,0.077822,4,1
airport36nDr0nDe2,30,1.508772,2.490010,0.195403,4,1
metroplex33nDr0nDe1,30,1.997494,14.061756,0.992427,5,1
metroplex33nDr0nDe2,30,5.285714,12.452590,0.795413,5,1
airport28nDr0nDe2,30,1.909774,10.289371,0.728907,4,1
airport25nDr0nDe2,30,6.780581,11.330273,4.368959,4,2
grid31nDr0nDe3,30,7.100251,28.274763,4.699644,12,3
grid18nDr0nDe3,30,9.007519,20.127147,1.092653,5,1
airport16nDr0nDe1,30,0.285714,9.704745,0.876516,4,1
airport36nDr0nDe1,30,3.939850,7.394053,2.920650,4,2
airport1nDr0nDe2,30,1.476190,5.370269,0.313102,4,1
grid19nDr0nDe1,30,5.674185,10.993192,0.718198,5,1
metroplex21nDr0nDe3,30,16.754386,22.160371,9.299556,4,2
airport15nDr0nDe3,30,1.761905,14.081108,0.840921,4,1
airport33nDr0nDe1,30,1.443609,4.343149,0.416871,4,1
metroplex38nDr0nDe3,30,14.669173,8.746162,1.900007,4,1
grid36nDr0nDe1,30,5.639098,1.550754,0.609543,4,2
grid33nDr0nDe1,30,3.255639,1.064870,0.200626,4,1
grid36nDr0nDe3,30,6.994987,7.000403,4.557114,4,3
metroplex40nDr0nDe3,30,7.365915,0.999310,0.470569,4,2
grid36nDr0nDe2,30,7.355890,6.369452,0.492278,4,1
