instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex20,30,1.789474,11.014814,5.956658,4,2
metroplex22,30,2.145363,8.727009,3.677850,4,2
metroplex25,30,2.684211,1.532527,0.842379,4,2
metroplex23,30,3.478697,6.773545,2.108150,4,1
metroplex26,30,3.508772,3.226299,1.568016,4,2
metroplex17,30,3.273191,41.582109,1.198450,8,1
metroplex28,30,2.052632,3.128105,1.723376,4,2
metroplex27,30,2.182957,4.641843,2.239778,4,2
metroplex2,30,5.012531,5.801330,2.946533,4,2
grid61,30,1.684211,33.682959,2.116351,6,1
metroplex24,30,3.566416,18.359022,11.742003,5,3
metroplex29,30,2.105263,11.787347,3.382607,4,1
metroplex34,30,3.713283,4.099477,2.931533,4,3
grid6,30,2.000000,42.170862,1.483314,10,1
grid87,30,2.368421,13.744399,0.497061,5,1
grid98,30,1.736842,26.791498,1.982821,5,1
airport25,30,0.684211,1.084667,0.130141,4,1
metroplex33,30,1.789473,13.161455,0.946766,6,1
airport28,30,1.080394,1.910734,0.251068,4,1
metroplex38,30,3.157895,3.283661,1.486285,4,2
airport20,30,1.210526,2.857368,1.136186,4,2
airport2,30,1.157895,3.723428,0.223633,4,1
airport15,30,1.210526,3.957408,0.339818,4,1
airport18,30,1.157895,4.779015,0.305356,4,1
airport21,30,0.631579,5.150899,0.376284,4,1
metroplex0,30,1.684211,17.261737,9.986804,6,4
metroplex31,30,1.736842,13.639799,1.465420,5,1
airport30,30,0.927372,4.313227,0.315083,4,1
airport13,30,0.848008,7.530649,0.639326,4,1
airport27,30,1.263158,6.907195,0.565176,4,1
airport14,30,1.000000,8.670559,0.773611,4,1
airport16,30,0.684211,9.190901,1.629594,4,1
airport19,30,1.000000,9.308860,1.164092,4,1
airport32,30,0.947368,5.250431,0.621023,4,1
airport38,30,0.842105,2.896986,0.413901,4,1
airport11,30,1.052632,11.657820,1.569922,4,1
airport17,30,1.210526,11.432553,2.129738,4,1
airport0,30,1.052632,11.436990,1.440328,4,1
airport1,30,1.421053,11.807864,2.433992,4,1
airport34,30,0.842105,6.976992,0.603156,4,1
metroplex43,30,3.684211,6.134804,6.085086,4,4
airport40,30,1.157895,4.205794,0.597472,4,1
metroplex40,30,2.421053,11.986747,6.678517,7,4
airport24,30,0.947368,14.559122,2.035836,4,1
airport41,30,0.315789,4.741093,0.663497,4,1
airport31,30,1.105263,10.194381,1.731597,4,1
airport43,30,1.894737,4.176683,0.378057,4,1
airport29,30,1.473684,14.625505,1.722782,4,1
airport10,30,0.947368,15.581110,3.522747,4,1
airport47,30,0.783784,3.979356,0.501647,4,1
airport4,30,0.788046,3.704177,0.456627,4,1
airport33,30,0.684211,12.439507,2.350384,4,1
airport44,30,1.105263,6.928181,0.620486,4,1
airport37,30,1.157895,10.840623,2.055935,4,1
airport45,30,1.368421,6.341854,1.156894,4,1
airport50,30,1.473684,5.229986,0.412004,4,1
airport49,30,1.421053,6.346913,1.045755,4,1
airport58,30,1.105263,4.002195,0.364784,4,1
airport56,30,0.894737,4.836771,1.078407,4,1
airport52,30,1.157895,6.091782,0.843770,4,1
metroplex30,30,3.518422,60.429002,49.139665,4,3
airport59,30,1.421053,3.670684,0.585074,4,1
airport48,30,1.315789,9.359689,0.847201,4,1
airport36,30,0.315789,16.339730,2.904577,4,1
airport3,30,0.631579,13.201852,2.482538,4,1
airport57,30,1.473684,6.977196,1.436911,4,1
airport35,30,0.105263,16.610508,2.913542,4,1
airport39,30,1.421053,16.079259,2.912492,4,1
airport55,30,0.631579,9.434036,1.351609,4,1
airport12,30,0.789474,24.847083,6.201954,4,1
airport67,30,0.788048,3.763935,0.544796,4,1
airport61,30,1.157895,7.056913,0.422814,4,1
airport5,30,1.263158,7.596989,1.156644,4,1
airport54,30,0.473684,10.976361,1.411150,4,1
airport64,30,0.842105,5.151100,0.512328,4,1
airport68,30,1.263158,4.002267,0.618595,4,1
metroplex45,30,1.982456,11.946200,8.913744,4,3
airport72,30,0.789474,3.101012,0.300421,4,1
airport51,30,1.526316,12.217103,2.185599,4,1
airport60,30,1.157895,8.593658,0.893115,4,1
airport53,30,1.315856,12.579725,0.753782,4,1
airport63,30,1.263158,9.017463,1.538096,4,1
airport65,30,1.000000,7.686279,1.045171,4,1
airport74,30,1.210526,4.659367,0.759100,4,1
airport78,30,1.000000,4.162382,0.532406,4,1
airport81,30,0.842105,4.394767,0.515939,4,1
airport73,30,1.289907,7.218011,0.723077,4,1
airport62,30,0.947368,12.703313,1.656182,4,1
airport66,30,1.789474,10.485425,1.896853,4,1
airport71,30,0.947368,8.761738,0.655548,4,1
airport80,30,1.000000,6.201399,0.592829,4,1
airport75,30,1.660537,9.812247,1.586557,4,1
airport84,30,1.000000,7.300853,0.587271,4,1
airport77,30,1.263158,9.407329,0.613715,4,1
airport76,30,1.105263,10.582845,1.790595,4,1
airport82,30,1.210526,8.854855,1.169288,4,1
metroplex44,30,4.774436,25.011989,5.848543,5,1
airport87,30,1.036688,7.190217,0.516734,4,1
airport91,30,1.789474,4.501762,0.431717,4,1
airport92,30,0.684211,4.327083,0.478214,4,1
airport7,30,1.368421,10.351559,1.871607,4,1
airport83,30,0.315734,10.597928,1.416515,4,1
airport97,30,1.072200,3.533920,0.433233,4,1
airport96,30,1.000000,4.156140,0.555790,4,1
airport86,30,0.842105,10.720977,1.131085,4,1
airport70,30,0.684211,17.301341,1.903256,4,1
airport8,30,1.421053,8.337350,1.405201,4,1
airport6,30,1.315789,18.655288,1.688040,4,1
airport88,30,0.842105,10.747457,1.644950,4,1
airport95,30,1.473684,6.215677,0.524663,4,1
airport99,30,1.157895,5.154211,0.858065,4,1
airport93,30,1.105263,10.231694,1.647653,4,1
airport79,30,1.000000,17.873497,1.674870,4,1
airport90,30,0.789474,12.009708,2.931189,4,1
airport85,30,0.469678,16.499556,3.865028,4,1
airport9,30,1.315790,11.683408,2.568898,4,1
grid14,30,1.684211,9.290855,3.975898,4,2
airport94,30,0.421053,15.998676,3.776470,4,1
airport98,30,1.000000,13.420436,1.778373,4,1
grid15,30,3.421053,11.068551,1.565350,4,1
grid19,30,2.263158,10.791552,1.661796,4,1
grid21,30,2.473683,10.432590,1.121607,4,1
grid20,30,2.368421,37.919861,1.638530,9,1
grid18,30,1.789474,17.581261,1.192612,5,1
metroplex32,30,108.443620,208.282871,33.919021,8,3
grid54,30,0.947368,108.330078,3.613552,10,1
grid0,30,2.473684,28.391648,3.738155,4,1
grid2,30,3.631579,13.545742,0.604885,4,1
grid27,30,3.368421,20.623601,8.672079,4,2
grid28,30,3.000000,23.617718,0.768334,7,1
metroplex53,30,4.210526,38.903535,15.966576,5,2
grid30,30,3.421053,17.771578,2.526995,4,1
metroplex56,30,3.724311,8.442392,4.494719,4,2
grid36,30,1.951417,93.117935,4.091281,7,1
metroplex4,30,52.849624,96.941206,81.067114,7,6
grid84,30,2.105263,38.816430,1.908199,6,1
grid90,30,1.000000,325.910633,1.423241,21,1
metroplex59,30,3.105263,4.225919,0.983779,4,1
grid23,30,2.982456,27.549886,1.037322,5,1
metroplex39,30,2.754386,142.380025,131.754860,18,16
grid22,30,3.122807,38.400270,2.341086,5,1
metroplex41,30,1.105263,56.731274,30.669993,5,2
grid44,30,1.947368,41.971813,18.893128,4,2
grid11,30,2.105263,42.976593,2.950849,5,1
metroplex57,30,3.313283,17.841245,1.593696,8,1
metroplex51,30,3.268170,55.666953,21.959780,7,3
grid13,30,1.368421,33.434231,4.065281,5,1
grid38,30,1.947368,9.701431,0.997944,4,1
grid34,30,2.473684,23.172766,1.466094,5,1
metroplex64,30,9.005013,13.333333,10.671570,4,3
metroplex65,30,3.210526,7.763148,4.174627,4,2
grid32,30,1.578947,26.930442,1.679788,6,1
metroplex5,30,6.285714,15.643866,7.137696,4,2
metroplex61,30,2.421053,18.556106,7.706746,5,2
grid26,30,2.263158,84.214988,0.979231,8,1
metroplex69,30,3.631579,7.252837,1.740802,4,1
grid35,30,0.684211,32.598982,1.604434,4,1
grid31,30,2.157895,45.996930,1.090303,6,1
metroplex3,30,2.052632,92.836832,20.219182,5,1
grid29,30,2.210526,81.665228,7.571985,7,1
metroplex72,30,1.842105,13.881189,6.885657,5,2
grid25,30,2.315789,19.081444,0.736674,8,1
metroplex46,30,5.781955,156.001574,12.242094,9,2
metroplex73,30,2.744361,11.374440,11.316643,4,4
grid24,30,1.631579,119.355674,4.432900,8,1
grid10,30,1.315789,80.306712,7.097198,6,1
metroplex58,30,2.728211,42.597418,30.103270,5,3
metroplex74,30,2.649123,7.771294,3.810716,4,2
grid43,30,2.157895,34.264915,1.339284,7,1
grid33,30,2.157895,36.470927,4.408179,4,1
grid47,30,3.210526,11.685797,1.808417,4,1
grid48,30,1.631579,15.988263,1.475338,4,1
grid16,30,2.578947,44.875376,4.122639,5,1
grid37,30,3.315789,47.055731,1.134147,6,1
grid12,30,1.631579,73.698947,4.201726,6,1
grid4,30,2.578946,11.910070,0.974117,4,1
grid39,30,2.526316,40.425609,20.160608,4,2
metroplex75,30,3.578947,16.648111,8.654367,4,2
metroplex63,30,2.466165,60.956880,22.703469,6,2
metroplex81,30,4.268170,15.668300,8.955276,4,2
metroplex10,30,2.842105,45.196251,10.319397,5,1
grid42,30,2.804511,32.441747,3.165979,4,1
grid56,30,2.157895,9.188602,1.073899,4,1
metroplex67,30,103.007519,128.258316,33.605649,6,3
grid49,30,1.000000,26.866445,1.538557,5,1
grid59,30,1.842105,10.120644,1.129881,4,1
grid45,30,2.631579,38.090725,2.577732,5,1
metroplex7,30,1.668367,25.607557,14.003961,4,2
metroplex80,30,2.761905,28.180192,19.781680,5,3
metroplex84,30,2.894737,12.900170,6.603712,4,2
metroplex71,30,1.982456,77.690518,65.168741,9,7
grid55,30,2.315789,30.652734,1.712292,6,1
metroplex88,30,3.882206,19.611991,15.003382,4,3
grid50,30,2.210526,39.507380,3.574387,5,1
metroplex8,30,3.105263,11.671931,5.963268,4,2
grid3,30,0.947368,80.081300,3.793963,8,1
metroplex89,30,1.724311,15.940584,8.393549,4,2
metroplex62,30,2.473684,46.486803,37.124938,4,3
grid1,30,1.157895,69.026293,3.645017,6,1
metroplex66,30,2.979950,57.219282,42.800757,5,3
grid46,30,1.368421,36.672931,2.049444,5,1
metroplex92,30,2.152227,9.265320,6.069445,4,2
grid52,30,3.052632,32.428507,3.202734,5,1
metroplex97,30,1.263158,4.895021,0.821528,4,1
grid58,30,2.368421,33.227495,4.491354,4,1
grid57,30,2.736842,50.939551,1.841040,8,1
grid64,30,1.842105,15.054777,2.149051,4,1
grid65,30,3.045113,15.255987,1.222282,5,1
grid9,30,1.789474,46.223801,2.141845,7,1
metroplex93,30,3.734336,16.928985,4.028917,4,1
grid60,30,2.263158,23.953504,1.457620,5,1
metroplex95,30,2.473684,14.169219,8.296215,4,2
grid67,30,2.368421,11.378958,1.539792,4,1
grid5,30,3.526316,39.925854,2.700703,6,1
metroplex99,30,4.421053,16.851112,10.987354,5,3
grid62,30,2.000000,34.292782,2.302624,5,1
metroplex54,30,2.619048,65.394937,12.383241,5,1
metroplex68,30,4.365391,204.367233,1.748504,9,1
grid69,30,3.052632,26.125889,1.220262,8,1
grid63,30,1.859649,37.272586,14.238338,4,2
metroplex9,30,3.345359,18.647206,14.760784,4,3
grid74,30,3.105263,14.541412,2.493757,4,1
metroplex83,30,3.074926,81.027976,25.885685,7,2
grid73,30,2.736842,21.728677,21.683092,4,4
grid70,30,3.473684,25.666761,18.103731,4,3
grid68,30,1.736842,25.548539,1.559924,7,1
grid20,30,2.368421,32.714826,1.520530,9,1
metroplex98,30,3.268170,31.969171,20.152077,4,2
grid72,30,3.064777,23.645094,1.449596,6,1
grid66,30,2.631579,37.161781,16.633002,4,2
grid53,30,2.795322,43.739904,3.507032,4,1
grid78,30,2.210526,18.090093,3.018722,4,1
metroplex91,30,48.228070,71.539628,39.218089,6,4
grid75,30,2.368421,43.413810,7.330602,4,1
metroplex90,30,2.972431,47.168728,11.356796,5,1
grid17,30,2.421053,195.829702,7.829992,9,1
grid80,30,2.410526,27.248209,11.353038,4,2
grid76,30,1.906433,30.055631,1.035274,5,1
grid71,30,2.052632,144.696732,3.710288,6,1
metroplex55,30,2.947368,58.767878,11.585420,5,1
metroplex94,30,4.508772,119.155253,38.022412,8,3
grid82,30,2.421053,26.733302,1.776936,4,1
metroplex42,30,132.090200,210.959937,136.088909,7,5
grid88,30,2.000000,25.112387,2.910334,4,1
grid89,30,2.368421,29.084349,3.729089,5,1
grid61,30,1.684211,70.055988,4.567520,6,1
