instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport15,1000.052632,0.675179,0.451906,1.127085,92886,8518,32997,32997,0
airport13,1001.578947,0.756274,0.457472,1.213746,105556,8315,31561,31561,0
airport18,1.684211,0.754874,0.663182,1.418056,100114,8025,29821,29821,0
airport0,1002.418546,0.731211,0.696797,1.428008,100220,8358,31713,31713,0
airport11,1.681704,0.636319,0.872714,1.509033,87771,7883,29649,29649,0
airport16,1.997494,0.662618,0.839534,1.502152,91352,7652,28363,28363,0
airport17,1.157895,0.685414,0.522762,1.208176,95662,7623,27666,27666,0
airport10,3.431078,0.790686,0.841784,1.632470,109738,8392,31588,31588,0
airport14,1.095238,0.770474,1.305797,2.076271,106464,10041,39704,39704,0
airport12,2001.105263,0.901975,0.930468,1.832443,125100,9896,37792,37792,0
airport13,1001.368421,0.756277,0.533556,1.289833,105584,8343,31603,31603,1
airport15,1000.000000,0.665978,0.464306,1.130284,92914,8546,33039,33039,1
airport18,1.473684,0.733298,0.745079,1.478377,100138,8049,29857,29857,1
airport0,1002.155388,0.727107,0.743267,1.470374,100254,8392,31764,31764,1
airport11,1.681704,0.634108,0.875977,1.510085,87787,7899,29673,29673,1
airport23,1.315789,0.550204,0.390207,0.940411,75454,7006,26120,26120,0
airport19,1001.736842,0.753586,0.624137,1.377723,91478,7801,29400,29400,0
airport16,1.892231,0.661056,0.843022,1.504078,91376,7676,28399,28399,1
airport17,1.105263,0.696130,0.732807,1.428937,95684,7645,27699,27699,1
airport22,1001.210526,0.671188,0.816352,1.487540,92720,8260,31863,31863,0
airport10,3.220551,0.793362,0.956406,1.749768,109768,8422,31633,31633,1
airport14,1.095238,0.780233,1.249655,2.029888,106482,10059,39731,39731,1
airport12,2001.105263,0.910822,0.943935,1.854757,125122,9918,37825,37825,1
airport20,2.776942,0.759297,1.031468,1.790765,104678,8272,30039,30039,0
airport1,0.421053,0.688915,0.479879,1.168794,95390,7546,27617,27617,0
airport21,2.052632,0.740933,0.824891,1.565824,101136,8645,33299,33299,0
airport26,1001.947368,0.842693,0.637446,1.480139,114014,8525,32098,32098,0
airport24,8001.842105,0.672593,0.352014,1.024607,91248,8085,31047,31047,0
airport25,4.428571,0.720294,0.956295,1.676589,100142,7578,26737,26737,0
airport27,1001.473684,0.757891,0.453167,1.211058,105190,8148,30478,30478,0
airport15,1000.000000,0.670385,0.459489,1.129874,92934,8566,33069,33069,2
airport13,1001.210526,0.765005,0.501461,1.266466,105612,8371,31645,31645,2
airport18,1.315789,0.729512,0.784319,1.513831,100162,8073,29893,29893,2
airport23,1.210526,0.543465,0.700973,1.244438,75474,7026,26150,26150,1
airport11,1.681704,0.639646,0.982768,1.622414,87803,7915,29697,29697,2
airport0,1001.997494,0.735693,0.828129,1.563822,100284,8422,31809,31809,2
airport17,2001.105263,0.694434,0.422692,1.117126,95702,7663,27726,27726,2
airport19,1001.526316,0.754122,0.647518,1.401640,91506,7829,29442,29442,1
airport10,3.010025,0.796915,1.024324,1.821239,109798,8452,31678,31678,2
airport2,1001.473684,0.696921,0.402872,1.099793,96600,7627,28539,28539,0
airport16,1.786967,0.663115,0.911190,1.574305,91400,7700,28435,28435,2
airport14,1.095238,0.814718,1.337596,2.152314,106500,10077,39758,39758,2
airport28,1.105263,0.698643,1.131495,1.830138,96413,8146,30369,30369,0
airport22,1001.157895,0.712297,0.837405,1.549702,92742,8282,31896,31896,1
airport12,2001.105263,0.916576,0.941207,1.857783,125138,9934,37849,37849,2
airport1,0.315789,0.695051,0.644852,1.339903,95418,7574,27659,27659,1
airport30,1001.473684,0.658834,0.396650,1.055484,90874,7366,26937,26937,0
airport29,1001.473684,0.642392,0.764075,1.406467,88896,8351,32990,32990,0
airport20,2.776942,0.759961,1.041425,1.801386,104684,8278,30048,30048,1
airport21,1.736842,0.733052,0.802299,1.535351,101164,8673,33341,33341,1
airport26,1001.736842,0.827879,0.695384,1.523263,114048,8559,32149,32149,1
airport24,6001.578947,0.668128,0.387313,1.055441,91278,8115,31092,31092,1
airport32,1001.105263,0.691736,0.440159,1.131895,96078,7597,27848,27848,0
airport25,4.428571,0.737885,0.970796,1.708681,100156,7592,26758,26758,1
airport31,1.681704,0.612531,1.046263,1.658794,83596,7476,27940,27940,0
airport27,1001.315789,0.763669,0.465570,1.229239,105216,8174,30517,30517,1
airport34,1.892231,0.642585,0.998487,1.641072,88691,8258,32217,32217,0
airport35,1.491228,0.707634,0.730125,1.437759,96721,8790,34181,34181,0
airport23,1.157895,0.545845,0.428334,0.974179,75494,7046,26180,26180,2
airport19,1001.368421,0.717488,0.674664,1.392152,91534,7857,29484,29484,2
airport22,1001.105263,0.671844,0.481277,1.153121,92764,8304,31929,31929,2
airport33,2001.105263,0.835711,0.936017,1.771728,114614,8905,33239,33239,0
airport2,1001.315789,0.694997,0.410119,1.105116,96628,7655,28581,28581,1
airport28,1.105263,0.701211,1.162638,1.863849,96425,8158,30387,30387,1
airport36,1.105263,0.699861,0.840799,1.540660,95800,8207,30500,30500,0
airport1,0.263158,0.691340,0.475653,1.166993,95444,7600,27698,27698,2
airport20,2.776942,0.763641,1.064424,1.828065,104688,8282,30054,30054,2
airport38,1.105263,0.732004,0.688640,1.420644,91360,7215,26037,26037,0
airport30,1001.368421,0.720923,0.418627,1.139550,90904,7396,26982,26982,1
airport29,1001.315789,0.647859,0.863014,1.510873,88924,8379,33032,33032,1
airport26,1001.578947,0.827402,0.739514,1.566916,114080,8591,32197,32197,2
airport21,1.526316,0.735391,0.837660,1.573051,101192,8701,33383,33383,2
airport24,6001.315789,0.688333,0.393600,1.081933,91308,8145,31137,31137,2
airport32,1001.105263,0.690107,0.443039,1.133146,96102,7621,27884,27884,1
airport40,1.315789,0.643919,0.441890,1.085809,88084,7841,30097,30097,0
airport37,0.333333,0.792986,0.746211,1.539197,109268,7981,28424,28424,0
airport39,1.421053,0.798025,0.922810,1.720835,109304,8937,33865,33865,0
airport42,1001.631579,0.636333,0.391398,1.027731,86849,6861,25001,25001,0
airport27,1001.210526,0.764547,0.487200,1.251747,105242,8200,30556,30556,2
airport31,1.681704,0.600652,1.041425,1.642077,83606,7486,27955,27955,1
airport3,1001.526316,0.727856,0.437883,1.165739,100592,8053,30190,30190,0
airport25,4.428571,0.727111,1.608917,2.336028,100168,7604,26776,26776,2
airport33,2001.105263,0.830112,0.967083,1.797195,114630,8921,33263,33263,1
airport35,1.438596,0.708117,0.795916,1.504033,96751,8820,34226,34226,1
airport34,1.786967,0.641936,1.086773,1.728709,88719,8286,32259,32259,1
airport43,1001.315789,0.635043,0.388191,1.023234,87326,7499,28093,28093,0
airport2,1001.210526,0.697218,0.452732,1.149950,96656,7683,28623,28623,2
airport29,1001.210526,0.641614,0.827393,1.469007,88952,8407,33074,33074,2
airport36,1.105263,0.707816,0.855211,1.563027,95816,8223,30524,30524,1
airport28,1.105263,0.699551,1.424103,2.123654,96431,8164,30396,30396,2
airport30,1001.263158,0.663165,0.410604,1.073769,90934,7426,27027,27027,2
airport44,1001.210526,0.659282,0.409908,1.069190,91378,6996,24979,24979,0
airport38,1.105263,0.659910,0.705267,1.365177,91380,7235,26067,26067,1
airport46,1.105263,0.867887,0.790638,1.658525,118882,9458,35559,35559,0
airport32,1001.105263,0.696251,0.433959,1.130210,96126,7645,27920,27920,2
airport40,1.210526,0.635994,0.445227,1.081221,88106,7863,30130,30130,1
airport45,1.200501,0.752318,0.957562,1.709880,100024,7892,28599,28599,0
airport47,1.842105,0.752757,0.737338,1.490095,96783,8614,33873,33873,0
airport31,1.681704,0.608674,0.937802,1.546476,83616,7496,27970,27970,2
airport37,0.333333,0.804549,0.800289,1.604838,109288,8001,28454,28454,1
airport39,1.315789,0.798174,0.798313,1.596487,109334,8967,33910,33910,1
airport48,2.210526,0.611265,0.754231,1.365496,84842,8480,34133,34133,0
airport3,1001.315789,0.733899,0.434306,1.168205,100622,8083,30235,30235,1
airport49,1.315789,0.854564,0.551286,1.405850,104751,7991,29319,29319,0
airport42,1001.473684,0.631451,0.436658,1.068109,86875,6887,25040,25040,1
airport4,1001.210526,0.735038,0.487915,1.222953,100536,8127,30129,30129,0
airport34,1.681704,0.644846,1.071087,1.715933,88747,8314,32301,32301,2
airport43,1001.210526,0.633354,0.388076,1.021430,87356,7529,28138,28138,1
airport33,2001.105263,0.831442,1.141497,1.972939,114644,8935,33284,33284,2
airport35,1.438596,0.706468,0.739765,1.446233,96777,8846,34265,34265,2
airport52,1.842105,0.716045,0.506962,1.223007,91286,7001,25689,25689,0
airport44,1001.105263,0.655170,0.383080,1.038250,91402,7020,25015,25015,1
airport51,1.789474,0.727013,0.395845,1.122858,100144,7768,28725,28725,0
airport36,1.105263,0.698880,0.877537,1.576417,95832,8239,30548,30548,2
airport50,1.105263,0.871422,1.041693,1.913115,119374,9421,35271,35271,0
airport38,1.105263,0.687578,0.691935,1.379513,91400,7255,26097,26097,2
airport37,0.333333,0.800737,0.513495,1.314232,109304,8017,28478,28478,2
airport47,1.684211,0.712946,0.732547,1.445493,96811,8642,33915,33915,1
airport46,1.105263,0.864026,0.789243,1.653269,118898,9474,35583,35583,1
airport3,1001.210526,0.735586,0.426818,1.162404,100650,8111,30277,30277,2
airport53,1.095238,0.778155,0.452210,1.230365,104571,8405,31753,31753,0
airport40,1.157895,0.642966,0.451441,1.094407,88126,7883,30160,30160,2
airport39,1.210526,0.801396,0.798505,1.599901,109364,8997,33955,33955,2
airport45,1.200501,0.733179,0.850870,1.584049,100036,7904,28617,28617,1
