instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport15,1000.052632,0.661773,0.489277,1.151050,90243,9933,39109,39109,0
airport17,1.157895,0.670360,0.572455,1.242815,90324,10467,39020,39020,0
airport13,1001.578947,0.765253,0.473410,1.238663,105556,8315,31561,31561,0
airport0,1002.418546,0.709004,0.726069,1.435073,94284,10883,41434,41434,0
airport18,1.684211,0.698233,0.763088,1.461321,94218,10570,39665,39665,0
airport11,1.681704,0.633366,0.860076,1.493442,87771,7883,29649,29649,0
airport16,1.997494,0.659170,0.834911,1.494081,91352,7652,28363,28363,0
airport10,3.431078,0.791385,0.829901,1.621286,109738,8392,31588,31588,0
airport12,2001.105263,0.873184,0.995820,1.869004,118270,12651,48938,48938,0
airport14,1.095238,0.771870,1.303236,2.075106,106464,10041,39704,39704,0
airport15,1000.000000,0.657808,0.490420,1.148228,90271,9961,39149,39149,1
airport17,1.105263,0.673042,0.503174,1.176216,90346,10489,39049,39049,1
airport13,1001.368421,0.771281,0.473814,1.245095,105584,8343,31603,31603,1
airport0,1002.155388,0.708058,0.728983,1.437041,94318,10917,41483,41483,1
airport11,1.681704,0.634281,0.871296,1.505577,87787,7899,29673,29673,1
airport16,1.892231,0.662665,0.818678,1.481343,91376,7676,28399,28399,1
airport18,1.473684,0.702968,0.828016,1.530984,94242,10594,39701,39701,1
airport10,3.220551,0.791902,0.954254,1.746156,109768,8422,31633,31633,1
airport12,2001.105263,0.877009,0.948236,1.825245,118292,12673,48967,48967,1
airport19,1001.736842,0.663452,0.611402,1.274854,91478,7801,29400,29400,0
airport14,1.095238,0.774119,1.324512,2.098631,106482,10059,39731,39731,1
airport1,0.421053,0.677185,0.577156,1.254341,92382,8688,32205,32205,0
airport20,2.776942,0.756466,1.042258,1.798724,104678,8272,30039,30039,0
airport22,1001.210526,0.665922,0.790324,1.456246,92720,8260,31863,31863,0
airport23,1.315789,0.514553,0.448174,0.962727,68535,10602,38231,38231,0
airport24,8001.842105,0.647078,0.417360,1.064438,86088,10876,42168,42168,0
airport21,2.052632,0.704686,1.031537,1.736223,92847,12665,48065,48065,0
airport26,1001.947368,0.821481,0.643070,1.464551,114014,8525,32098,32098,0
airport25,4.428571,0.719416,0.937357,1.656773,100142,7578,26737,26737,0
airport27,1001.473684,0.762185,0.478127,1.240312,105190,8148,30478,30478,0
airport15,1000.000000,0.664685,0.523928,1.188613,90291,9981,39179,39179,2
airport13,1001.210526,0.764882,0.480824,1.245706,105612,8371,31645,31645,2
airport17,2001.105263,0.679091,0.587072,1.266163,90364,10507,39072,39072,2
airport18,1.315789,0.707368,0.818906,1.526274,94266,10618,39737,39737,2
airport16,1.786967,0.666285,0.908444,1.574729,91400,7700,28435,28435,2
airport0,1001.997494,0.717258,0.910658,1.627916,94348,10947,41528,41528,2
airport10,3.010025,0.803934,0.927246,1.731180,109798,8452,31678,31678,2
airport11,1.681704,0.637728,1.075184,1.712912,87803,7915,29697,29697,2
airport12,2001.105263,0.889335,0.982959,1.872294,118308,12689,48989,48989,2
airport14,1.095238,0.780539,1.341457,2.121996,106500,10077,39758,39758,2
airport19,1001.526316,0.666233,0.656371,1.322604,91506,7829,29442,29442,1
airport1,0.315790,0.676971,0.579838,1.256809,92410,8716,32245,32245,1
airport28,1.105263,0.679268,1.129771,1.809039,90967,10891,41273,41273,0
airport2,1001.473684,0.702438,0.389577,1.092015,96600,7627,28539,28539,0
airport29,1001.473684,0.640461,0.781042,1.421503,88896,8351,32990,32990,0
airport23,1.210526,0.521468,0.455571,0.977039,68555,10622,38257,38257,1
airport20,2.776942,0.762640,1.013535,1.776175,104684,8278,30048,30048,1
airport22,1001.157895,0.671499,0.833873,1.505372,92742,8282,31896,31896,1
airport24,6001.578947,0.651958,0.462379,1.114337,86118,10906,42209,42209,1
airport21,1.736842,0.707060,1.055810,1.762870,92875,12693,48105,48105,1
airport30,1001.473684,0.659830,0.399205,1.059035,90874,7366,26937,26937,0
airport31,1.681704,0.617741,1.032483,1.650224,83596,7476,27940,27940,0
airport26,1001.736842,0.836493,0.684885,1.521378,114048,8559,32149,32149,1
airport32,1001.105263,0.697716,0.447658,1.145374,96078,7597,27848,27848,0
airport25,4.428571,0.720422,1.073654,1.794076,100156,7592,26758,26758,1
airport27,1001.315789,0.758543,0.459132,1.217675,105216,8174,30517,30517,1
airport35,1.491228,0.681540,0.739824,1.421364,90631,11031,42259,42259,0
airport34,1.892231,0.639205,0.998737,1.637942,88691,8258,32217,32217,0
airport33,2001.105263,0.816627,1.344287,2.160914,108227,11574,43806,43806,0
airport19,1001.368421,0.669074,0.656033,1.325107,91534,7857,29484,29484,2
airport1,0.263158,0.679627,0.568442,1.248069,92436,8742,32282,32282,2
airport36,1.105263,0.676210,0.941697,1.617907,90347,10971,41430,41430,0
airport28,1.105263,0.675537,1.316673,1.992210,90979,10903,41291,41291,1
airport20,2.776942,0.779244,1.144377,1.923621,104688,8282,30054,30054,2
airport2,1001.315789,0.694421,0.420246,1.114667,96628,7655,28581,28581,1
airport29,1001.315789,0.641168,0.792985,1.434153,88924,8379,33032,33032,1
airport22,1001.105263,0.673296,0.469244,1.142540,92764,8304,31929,31929,2
airport23,1.157895,0.522383,0.484343,1.006726,68575,10642,38283,38283,2
airport38,1.105263,0.645162,0.793037,1.438199,86008,9890,36506,36506,0
airport24,6001.315789,0.650534,0.441456,1.091990,86148,10936,42250,42250,2
airport37,0.333333,0.788079,0.741241,1.529320,109268,7981,28424,28424,0
airport21,1.526316,0.709974,1.133342,1.843316,92903,12721,48145,48145,2
airport30,1001.368421,0.689769,0.414153,1.103922,90904,7396,26982,26982,1
airport39,1.421053,0.773558,0.501461,1.275019,102928,11376,43191,43191,0
airport3,1001.526316,0.759734,0.446039,1.205773,100592,8053,30190,30190,0
airport26,1001.578947,0.831543,0.724955,1.556498,114080,8591,32197,32197,2
airport32,1001.105263,0.693068,0.454645,1.147713,96102,7621,27884,27884,1
airport31,1.681704,0.604317,1.018810,1.623127,83606,7486,27955,27955,1
