instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport15,1.210526,0.365883,0.129490,0.495373,39524,4744,18223,18223,0
airport13,+Inf,0.577733,0.063612,0.641345,69743,6147,22632,22632,0
airport18,+Inf,0.504254,0.038154,0.542408,64135,5447,19387,19387,0
airport0,+Inf,0.698509,0.071653,0.770162,89386,7382,27797,27797,0
airport11,+Inf,0.687991,0.071104,0.759095,88734,7225,27249,27249,0
airport16,1.049786,0.610300,0.355713,0.966013,79368,6457,23465,23465,0
airport14,+Inf,0.452474,0.062788,0.515262,55757,6165,24273,24273,0
airport10,+Inf,0.918468,0.077935,0.996403,112821,8216,30521,30521,0
airport17,1.210526,0.734350,0.557584,1.291934,92765,7145,26107,26107,0
airport12,+Inf,1.071805,0.081035,1.152840,129518,9763,37912,37912,0
airport15,0.894737,0.332278,0.137136,0.469414,39550,4770,18262,18262,1
airport13,+Inf,0.582420,0.063565,0.645985,69769,6173,22671,22671,1
airport18,+Inf,0.508822,0.057222,0.566044,64171,5483,19441,19441,1
airport11,+Inf,0.684878,0.085442,0.770320,88758,7249,27285,27285,1
airport19,+Inf,0.623301,0.047856,0.671157,65140,6469,24770,24770,0
airport0,+Inf,0.765600,0.089915,0.855515,89422,7418,27851,27851,1
airport16,1.207680,0.614352,0.284199,0.898551,79398,6487,23510,23510,1
airport14,+Inf,0.458772,0.064861,0.523633,55785,6193,24315,24315,1
airport17,0.894737,0.737681,0.368880,1.106561,92793,7173,26149,26149,1
airport10,+Inf,0.919113,0.078505,0.997618,112851,8246,30566,30566,1
airport20,+Inf,0.407699,0.049584,0.457283,50621,4695,16058,16058,0
airport21,0.631579,0.371391,0.187117,0.558508,47691,5202,19408,19408,0
airport1,2.728319,0.728202,0.344294,1.072496,92161,6992,25674,25674,0
airport12,+Inf,1.182668,0.085256,1.267924,129550,9795,37960,37960,1
airport24,+Inf,0.736483,0.092235,0.828718,89821,7883,30719,30719,0
airport25,+Inf,0.289564,0.040420,0.329984,37239,3592,11925,11925,0
airport15,1.024878,0.330533,0.146144,0.476677,39582,4802,18310,18310,2
airport27,+Inf,0.546699,0.068334,0.615033,71850,6121,22639,22639,0
airport13,+Inf,0.586950,0.063109,0.650059,69801,6205,22719,22719,2
airport18,+Inf,0.535358,0.045076,0.580434,64207,5519,19495,19495,2
airport19,+Inf,0.519255,0.069800,0.589055,65170,6499,24815,24815,1
airport11,+Inf,0.729464,0.072940,0.802404,88784,7275,27324,27324,2
airport0,+Inf,0.702603,0.062128,0.764731,89458,7454,27905,27905,2
airport28,+Inf,0.362412,0.058229,0.420641,44716,4335,15337,15337,0
airport2,1.157895,0.423741,0.151326,0.575067,54106,4837,17436,17436,0
airport14,+Inf,0.459898,0.054687,0.514585,55815,6223,24360,24360,2
airport17,1.000000,0.737678,0.553156,1.290834,92823,7203,26194,26194,2
airport16,1.365575,0.620145,0.259606,0.879751,79432,6521,23561,23561,2
airport10,+Inf,0.921282,0.078220,0.999502,112881,8276,30611,30611,2
airport30,+Inf,0.394670,0.049400,0.444070,50582,4801,17092,17092,0
airport29,+Inf,0.628692,0.068570,0.697262,84551,7767,30897,30897,0
airport20,+Inf,0.418014,0.049724,0.467738,50643,4717,16091,16091,1
airport1,2.359898,0.717274,0.328192,1.045466,92191,7022,25719,25719,1
airport21,0.842105,0.369359,0.172173,0.541532,47717,5228,19447,19447,1
airport12,+Inf,1.083852,0.082954,1.166806,129582,9827,38008,38008,2
airport32,0.947368,0.421355,0.173644,0.594999,56789,5076,18181,18181,0
airport24,+Inf,0.732611,0.080534,0.813145,89853,7915,30767,30767,1
airport25,+Inf,0.290512,0.028075,0.318587,37263,3616,11961,11961,1
airport31,+Inf,0.631538,0.055043,0.686581,77541,6653,24769,24769,0
airport27,+Inf,0.570708,0.050301,0.621009,71880,6151,22684,22684,1
airport34,+Inf,0.418427,0.055654,0.474081,49707,5589,21758,21758,0
airport35,+Inf,0.780989,0.072985,0.853974,99213,8572,33320,33320,0
airport19,+Inf,0.516370,0.066214,0.582584,65200,6529,24860,24860,2
airport2,1.210526,0.428061,0.150990,0.579051,54140,4871,17487,17487,1
airport33,+Inf,0.744163,0.062888,0.807051,88337,7381,27780,27780,0
airport28,+Inf,0.371788,0.037404,0.409192,44750,4369,15388,15388,1
airport38,+Inf,0.322103,0.027381,0.349484,43074,3875,13011,13011,0
airport20,+Inf,0.405365,0.061373,0.466738,50669,4743,16130,16130,2
airport36,+Inf,0.776310,0.068546,0.844856,98559,8138,30495,30495,0
airport30,+Inf,0.397155,0.039457,0.436612,50614,4833,17140,17140,1
airport1,2.465161,0.715147,0.344006,1.059153,92225,7056,25770,25770,2
airport29,+Inf,0.625669,0.067559,0.693228,84579,7795,30939,30939,1
airport21,0.631579,0.451221,0.181064,0.632285,47743,5254,19486,19486,2
airport32,0.656640,0.425234,0.187200,0.612434,56817,5104,18223,18223,1
airport40,+Inf,0.383456,0.031757,0.415213,49202,4512,15833,15833,0
airport24,+Inf,0.734351,0.076990,0.811341,89883,7945,30812,30812,2
airport27,+Inf,0.547951,0.065253,0.613204,71912,6183,22732,22732,2
airport39,+Inf,0.778343,0.062310,0.840653,101411,8316,31870,31870,0
airport31,+Inf,0.627405,0.056890,0.684295,77565,6677,24805,24805,1
airport25,+Inf,0.290383,0.039806,0.330189,37289,3642,12000,12000,2
airport37,1.157895,0.761142,0.363403,1.124545,97103,7076,25584,25584,0
airport34,+Inf,0.418289,0.060776,0.479065,49735,5617,21800,21800,1
airport3,0.631579,0.770585,0.642894,1.413479,102293,7873,29352,29352,0
airport43,+Inf,0.312794,0.044650,0.357444,41299,4221,15425,15425,0
airport33,+Inf,0.676745,0.076713,0.753458,88367,7411,27825,27825,1
airport35,+Inf,0.779719,0.064458,0.844177,99245,8604,33368,33368,1
airport2,1.263158,0.421757,0.148203,0.569960,54178,4909,17544,17544,2
airport28,+Inf,0.366333,0.048063,0.414396,44788,4407,15445,15445,2
airport29,+Inf,0.635771,0.079058,0.714829,84609,7825,30984,30984,2
airport30,+Inf,0.393047,0.039246,0.432293,50650,4869,17194,17194,2
airport36,+Inf,0.772544,0.078381,0.850925,98585,8164,30534,30534,1
airport38,+Inf,0.323074,0.039533,0.362607,43100,3901,13050,13050,1
airport44,1.105263,0.610935,0.243104,0.854039,80422,6014,21557,21557,0
airport40,+Inf,0.381036,0.036005,0.417041,49232,4542,15878,15878,1
airport47,+Inf,0.335470,0.034642,0.370112,41873,4289,15051,15051,0
airport32,0.842105,0.424868,0.183656,0.608524,56845,5132,18265,18265,2
airport45,+Inf,0.542639,0.068032,0.610671,68265,5708,20489,20489,0
airport31,+Inf,0.636512,0.066558,0.703070,77593,6705,24847,24847,2
airport48,+Inf,0.439429,0.057034,0.496463,53393,6547,26535,26535,0
airport49,+Inf,0.563305,0.048081,0.611386,72048,5977,21974,21974,0
airport39,+Inf,0.781564,0.070530,0.852094,101453,8358,31933,31933,1
airport37,1.607547,0.762770,0.357724,1.120494,97135,7108,25632,25632,1
airport4,+Inf,0.380680,0.034493,0.415173,47799,4406,14876,14876,0
airport3,0.421053,0.769724,0.410043,1.179767,102323,7903,29397,29397,1
airport43,+Inf,0.311187,0.031893,0.343080,41327,4249,15467,15467,1
airport34,+Inf,0.415154,0.060516,0.475670,49765,5647,21845,21845,2
airport33,+Inf,0.678454,0.071401,0.749855,88399,7443,27873,27873,2
airport35,+Inf,0.779189,0.086049,0.865238,99277,8636,33416,33416,2
airport52,+Inf,0.509327,0.055463,0.564790,67254,5495,19695,19695,0
airport44,0.789474,0.614359,0.250985,0.865344,80450,6042,21599,21599,1
airport36,+Inf,0.896109,0.069703,0.965812,98611,8190,30573,30573,2
airport51,1.526316,0.785792,0.316282,1.102074,102510,7484,27782,27782,0
airport38,+Inf,0.321190,0.042188,0.363378,43130,3931,13095,13095,2
airport50,2.092732,0.465385,0.185614,0.650999,60387,5392,19352,19352,0
airport47,+Inf,0.336714,0.034825,0.371539,41901,4317,15093,15093,1
airport40,+Inf,0.362832,0.035885,0.398717,49262,4572,15923,15923,2
airport37,1.631579,0.757214,0.328012,1.085226,97167,7140,25680,25680,2
airport45,+Inf,0.542394,0.068545,0.610939,68291,5734,20528,20528,1
airport53,+Inf,0.761633,0.068079,0.829712,97629,7971,30385,30385,0
airport48,+Inf,0.439097,0.060833,0.499930,53421,6575,26577,26577,1
airport39,+Inf,0.780295,0.081726,0.862021,101495,8400,31996,31996,2
airport54,+Inf,0.699048,0.061509,0.760557,86182,7168,26630,26630,0
airport55,+Inf,0.673863,0.076049,0.749912,88915,6538,23631,23631,0
airport3,0.210526,0.775254,0.431615,1.206869,102353,7933,29442,29442,2
airport56,+Inf,0.441732,0.033893,0.475625,58811,4824,16793,16793,0
airport58,+Inf,0.367164,0.031391,0.398555,46723,4379,15180,15180,0
airport4,+Inf,0.383385,0.034851,0.418236,47821,4428,14909,14909,1
airport49,+Inf,0.559482,0.060812,0.620294,72076,6005,22016,22016,1
airport57,1.473684,0.586969,0.180024,0.766993,71946,5894,21318,21318,0
airport52,+Inf,0.580620,0.056194,0.636814,67280,5521,19734,19734,1
airport43,+Inf,0.319070,0.035761,0.354831,41357,4279,15512,15512,2
airport59,2.413995,0.422526,0.228543,0.651069,47223,4159,14254,14254,0
airport51,1.115176,0.817782,0.318470,1.136252,102544,7518,27833,27833,1
airport44,0.894737,0.612324,0.254419,0.866743,80480,6072,21644,21644,2
airport61,+Inf,0.487383,0.048437,0.535820,63982,5701,21203,21203,0
airport50,1.776942,0.468182,0.203585,0.671767,60417,5422,19397,19397,1
airport5,2.189025,0.522388,0.332921,0.855309,68123,5861,21535,21535,0
airport53,+Inf,0.767231,0.066683,0.833914,97659,8001,30430,30430,1
airport47,+Inf,0.336458,0.046836,0.383294,41929,4345,15135,15135,2
airport45,+Inf,0.538854,0.046291,0.585145,68323,5766,20576,20576,2
airport54,+Inf,0.690729,0.073564,0.764293,86210,7196,26672,26672,1
airport55,+Inf,0.672873,0.064695,0.737568,88947,6570,23679,23679,1
airport4,+Inf,0.379998,0.045675,0.425673,47843,4450,14942,14942,2
airport48,+Inf,0.440309,0.071247,0.511556,53451,6605,26622,26622,2
airport60,+Inf,0.478062,0.074773,0.552835,58840,6207,23884,23884,0
airport56,+Inf,0.442285,0.037600,0.479885,58845,4858,16844,16844,1
airport49,+Inf,0.564313,0.050072,0.614385,72106,6035,22061,22061,2
airport64,1.349042,0.350870,0.209289,0.560159,45453,4865,18035,18035,0
airport58,+Inf,0.359918,0.045991,0.405909,46751,4407,15222,15222,1
airport62,+Inf,0.643886,0.052269,0.696155,87779,7383,28161,28161,0
airport57,1.894737,0.584343,0.186949,0.771292,71982,5930,21372,21372,1
airport67,+Inf,0.325707,0.045262,0.370969,41485,4067,13985,13985,0
airport63,2.094756,0.630696,0.426799,1.057495,84169,6404,23111,23111,0
airport66,+Inf,0.822799,0.059048,0.881847,103560,7182,26126,26126,0
airport51,1.263158,0.785009,0.319748,1.104757,102578,7552,27884,27884,2
airport52,+Inf,0.571363,0.043342,0.614705,67308,5549,19776,19776,2
airport59,2.466627,0.369388,0.164945,0.534333,47251,4187,14296,14296,1
airport68,+Inf,0.408713,0.055859,0.464572,55626,4630,15928,15928,0
airport50,1.882206,0.463333,0.195380,0.658713,60447,5452,19442,19442,2
airport65,1.285714,0.517085,0.209933,0.727018,65051,6133,22719,22719,0
airport61,+Inf,0.487655,0.047470,0.535125,64012,5731,21248,21248,1
airport5,2.241657,0.515910,0.371984,0.887894,68153,5891,21580,21580,1
airport53,+Inf,0.758984,0.077052,0.836036,97693,8035,30481,30481,2
airport60,+Inf,0.475466,0.065059,0.540525,58874,6241,23935,23935,1
airport54,+Inf,0.763867,0.050646,0.814513,86236,7222,26711,26711,2
airport55,+Inf,0.672245,0.053660,0.725905,88979,6602,23727,23727,2
airport62,+Inf,0.645022,0.058757,0.703779,87811,7415,28209,28209,1
airport56,+Inf,0.436614,0.037322,0.473936,58881,4894,16898,16898,2
airport64,1.506937,0.353168,0.198436,0.551604,45481,4893,18077,18077,1
airport58,+Inf,0.363778,0.046482,0.410260,46779,4435,15264,15264,2
airport72,0.789474,0.286296,0.119294,0.405590,37675,3935,13772,13772,0
airport6,+Inf,0.761514,0.067036,0.828550,102343,8747,35314,35314,0
airport63,1.778966,0.632596,0.434129,1.066725,84193,6428,23147,23147,1
airport71,+Inf,0.680067,0.054356,0.734423,85702,6778,24592,24592,0
airport57,1.842105,0.587970,0.178058,0.766028,72020,5968,21429,21429,2
airport67,+Inf,0.327287,0.044147,0.371434,41515,4097,14030,14030,1
airport66,+Inf,0.818831,0.081400,0.900231,103598,7220,26183,26183,1
airport59,2.519259,0.410043,0.148813,0.558856,47281,4217,14341,14341,2
airport61,+Inf,0.547320,0.048607,0.595927,64046,5765,21299,21299,2
airport65,1.022556,0.516960,0.216513,0.733473,65087,6169,22773,22773,1
airport68,+Inf,0.432796,0.044683,0.477479,55662,4666,15982,15982,1
airport74,1.210526,0.414814,0.127743,0.542557,53188,4886,17090,17090,0
airport75,+Inf,0.698084,0.045554,0.743638,92333,6508,23495,23495,0
airport5,2.294288,0.512078,0.302573,0.814651,68183,5921,21625,21625,2
airport77,+Inf,0.567587,0.047068,0.614655,65532,6363,25199,25199,0
airport70,+Inf,0.710584,0.073094,0.783678,80563,8283,33945,33945,0
airport60,+Inf,0.476604,0.065792,0.542396,58912,6279,23992,23992,2
airport73,1.771652,0.675493,0.257516,0.933009,76189,6119,21895,21895,0
airport72,1.315789,0.282842,0.126104,0.408946,37703,3963,13814,13814,1
airport78,+Inf,0.305064,0.030812,0.335876,40639,4239,15347,15347,0
airport76,8.012270,0.680849,0.802565,1.483414,88007,7027,26191,26191,0
airport62,+Inf,0.651180,0.054206,0.705386,87843,7447,28257,28257,2
airport6,+Inf,0.759728,0.066149,0.825877,102377,8781,35365,35365,1
airport64,1.243779,0.350206,0.198792,0.548998,45509,4921,18119,18119,2
airport71,+Inf,0.678010,0.055219,0.733229,85726,6802,24628,24628,1
airport63,1.884229,0.733809,0.366372,1.100181,84219,6454,23186,23186,2
airport66,+Inf,0.824944,0.062116,0.887060,103636,7258,26240,26240,2
airport67,+Inf,0.323642,0.055716,0.379358,41543,4125,14072,14072,2
airport65,1.180451,0.515955,0.229367,0.745322,65123,6205,22827,22827,2
airport80,+Inf,0.541574,0.051305,0.592879,62409,5502,19984,19984,0
airport68,+Inf,0.407160,0.032674,0.439834,55698,4702,16036,16036,2
airport7,+Inf,0.679504,0.057522,0.737026,82110,6815,25650,25650,0
airport75,+Inf,0.696209,0.046273,0.742482,92367,6542,23546,23546,1
airport70,+Inf,0.595905,0.063091,0.658996,80595,8315,33993,33993,1
airport74,0.988324,0.477954,0.130201,0.608155,53212,4910,17126,17126,1
airport81,0.842105,0.363180,0.167769,0.530949,47451,4735,16993,16993,0
airport78,+Inf,0.305953,0.047122,0.353075,40667,4267,15389,15389,1
airport77,+Inf,0.516763,0.047578,0.564341,65562,6393,25244,25244,1
airport73,1.902798,0.606300,0.253847,0.860147,76217,6147,21937,21937,1
airport79,1.000000,0.715769,0.496460,1.212229,97532,8850,35184,35184,0
airport82,+Inf,0.562495,0.069160,0.631655,72204,6396,23779,23779,0
airport84,+Inf,0.518210,0.060344,0.578554,65024,5994,22200,22200,0
airport72,1.000000,0.282053,0.112317,0.394370,37731,3991,13856,13856,2
airport76,7.696480,0.672449,0.971074,1.643523,88037,7057,26236,26236,1
airport6,+Inf,0.755684,0.065641,0.821325,102413,8817,35419,35419,2
airport86,+Inf,0.616976,0.068859,0.685835,78351,6822,26313,26313,0
airport71,+Inf,0.687432,0.066929,0.754361,85752,6828,24667,24667,2
airport85,+Inf,0.879995,0.067807,0.947802,116114,8380,30981,30981,0
airport87,+Inf,0.334953,0.047637,0.382590,40486,5412,21798,21798,0
airport80,+Inf,0.507193,0.051454,0.558647,62439,5532,20029,20029,1
airport75,+Inf,0.699964,0.075547,0.775511,92405,6580,23603,23603,2
airport70,+Inf,0.598946,0.066240,0.665186,80631,8351,34047,34047,2
airport81,1.000000,0.358042,0.171717,0.529759,47471,4755,17023,17023,1
airport74,1.490358,0.413407,0.155748,0.569155,53242,4940,17171,17171,2
airport83,1.559791,0.709264,0.669183,1.378447,89970,7029,25639,25639,0
airport78,+Inf,0.306708,0.059204,0.365912,40697,4297,15434,15434,2
airport73,1.929547,0.615397,0.291995,0.907392,76251,6181,21988,21988,2
airport79,0.684211,0.715378,0.512024,1.227402,97562,8880,35229,35229,1
airport77,+Inf,0.503529,0.048637,0.552166,65596,6427,25295,25295,2
airport88,+Inf,0.676624,0.087318,0.763942,84750,7117,26882,26882,0
airport82,+Inf,0.634921,0.045711,0.680632,72234,6426,23824,23824,1
airport91,+Inf,0.373473,0.050275,0.423748,47613,4745,17396,17396,0
airport8,2.992481,0.578656,0.230548,0.809204,75803,5954,21617,21617,0
airport84,+Inf,0.519292,0.062210,0.581502,65052,6022,22242,22242,1
airport86,+Inf,0.615810,0.069862,0.685672,78371,6842,26343,26343,1
airport7,2.232392,0.817915,0.549774,1.367689,82136,6841,25689,25689,1
airport92,+Inf,0.428350,0.039950,0.468300,56783,4943,17467,17467,0
airport76,8.222796,0.688733,0.975322,1.664055,88071,7091,26287,26287,2
airport90,0.789474,0.767097,0.357484,1.124581,101409,7511,27478,27478,0
airport85,+Inf,0.962436,0.080790,1.043226,116144,8410,31026,31026,1
airport7,+Inf,0.703600,0.071718,0.775318,82164,6869,25731,25731,2
airport97,+Inf,0.262238,0.047084,0.309322,31293,3924,14681,14681,0
airport93,+Inf,0.767571,0.056719,0.824290,93263,6863,24885,24885,0
airport83,1.401896,0.775079,0.512113,1.287192,90000,7059,25684,25684,1
airport87,+Inf,0.344308,0.073669,0.417977,40514,5440,21840,21840,1
airport81,1.157895,0.368906,0.181726,0.550632,47493,4777,17056,17056,2
airport80,+Inf,0.520992,0.057835,0.578827,62467,5560,20071,20071,2
airport94,+Inf,0.876463,0.058963,0.935426,111285,8291,30819,30819,0
airport96,+Inf,0.387734,0.047895,0.435629,47539,4434,15452,15452,0
airport95,1.473684,0.499768,0.266426,0.766194,63944,5582,20464,20464,0
airport79,0.421053,0.741918,0.509844,1.251762,97592,8910,35274,35274,2
airport88,+Inf,0.679562,0.072528,0.752090,84778,7145,26924,26924,1
airport91,+Inf,0.383247,0.039930,0.423177,47643,4775,17441,17441,1
airport82,+Inf,0.576209,0.053345,0.629554,72264,6456,23869,23869,2
airport99,+Inf,0.468354,0.042266,0.510620,57411,5124,18149,18149,0
airport84,+Inf,0.530897,0.063820,0.594717,65084,6054,22290,22290,2
airport86,+Inf,0.629130,0.073423,0.702553,78395,6866,26379,26379,2
airport8,3.045113,0.584234,0.263173,0.847407,75837,5988,21668,21668,1
airport92,+Inf,0.436632,0.041138,0.477770,56815,4975,17515,17515,1
airport98,+Inf,0.724627,0.082379,0.807006,89380,7841,30255,30255,0
airport83,1.296689,0.722655,0.505400,1.228055,90030,7089,25729,25729,2
airport97,+Inf,0.261673,0.035041,0.296714,31315,3946,14714,14714,1
airport90,0.578947,0.909777,0.367409,1.277186,101439,7541,27523,27523,1
airport85,+Inf,0.902724,0.080748,0.983472,116174,8440,31071,31071,2
airport95,1.526316,0.501929,0.200783,0.702712,63972,5610,20506,20506,1
airport87,+Inf,0.344327,0.061930,0.406257,40548,5474,21891,21891,2
airport93,+Inf,0.753401,0.068963,0.822364,93295,6895,24933,24933,1
airport9,+Inf,0.677603,0.084220,0.761823,86734,6989,25987,25987,0
airport94,0.263158,0.880499,0.480834,1.361333,111313,8319,30861,30861,1
airport88,+Inf,0.679234,0.071044,0.750278,84808,7175,26969,26969,2
airport96,+Inf,0.390599,0.048959,0.439558,47569,4464,15497,15497,1
airport91,+Inf,0.385692,0.040062,0.425754,47677,4809,17492,17492,2
airport99,+Inf,0.468002,0.053434,0.521436,57443,5156,18197,18197,1
airport8,3.097744,0.585507,0.318916,0.904423,75873,6024,21722,21722,2
airport92,+Inf,0.437709,0.040913,0.478622,56849,5009,17566,17566,2
airport98,+Inf,0.694837,0.070033,0.764870,89404,7865,30291,30291,1
airport90,0.368421,0.792419,0.413065,1.205484,101469,7571,27568,27568,2
airport93,+Inf,0.753411,0.058568,0.811979,93331,6931,24987,24987,2
airport97,+Inf,0.264482,0.047640,0.312122,31341,3972,14753,14753,2
airport95,1.578947,0.524139,0.219692,0.743831,64002,5640,20551,20551,2
airport94,0.157895,0.875136,0.561232,1.436368,111339,8345,30900,30900,2
airport96,+Inf,0.396392,0.049572,0.445964,47601,4496,15545,15545,2
airport99,+Inf,0.517145,0.053605,0.570750,57475,5188,18245,18245,2
airport9,+Inf,0.682175,0.058794,0.740969,86766,7021,26035,26035,1
airport98,+Inf,0.696720,0.067042,0.763762,89428,7889,30327,30327,2
airport9,+Inf,0.679157,0.059949,0.739106,86800,7055,26086,26086,2
grid11,+Inf,3.106059,0.104756,3.210815,363259,12474,46110,46110,0
grid15,6.854637,1.861150,0.471453,2.332603,227548,8202,28200,28200,0
grid12,+Inf,3.399647,0.138679,3.538326,410828,13938,52051,52051,0
grid14,+Inf,1.562168,0.053826,1.615994,196503,7465,25349,25349,0
grid10,1.341689,3.571852,1.289363,4.861215,437833,14375,53699,53699,0
grid0,2.473684,2.925311,1.079444,4.004755,352401,11423,41355,41355,0
grid0,1.835526,2.807221,0.685487,3.492708,352453,11475,41433,41433,1
grid18,+Inf,1.902325,0.090926,1.993251,235035,8845,30418,30418,0
grid13,+Inf,2.299770,0.089230,2.389000,293181,10913,39904,39904,0
grid11,+Inf,3.257675,0.088242,3.345917,363307,12522,46182,46182,1
grid15,6.433584,1.873507,0.467731,2.341238,227604,8258,28284,28284,1
grid10,0.973268,3.681035,1.159368,4.840403,437877,14419,53765,53765,1
grid12,+Inf,3.485306,0.131467,3.616773,410878,13988,52126,52126,1
grid0,2.105263,2.839617,0.950762,3.790379,352507,11529,41514,41514,2
grid11,+Inf,3.215856,0.124634,3.340490,363359,12574,46260,46260,2
grid15,7.117794,1.915706,0.518200,2.433906,227670,8324,28383,28383,2
grid18,+Inf,1.926684,0.144572,2.071256,235077,8887,30481,30481,1
grid13,+Inf,2.369803,0.094406,2.464209,293235,10967,39985,39985,1
grid10,0.973268,3.674700,0.899831,4.574531,437923,14465,53834,53834,2
grid14,+Inf,1.589120,0.080191,1.669311,196557,7519,25430,25430,1
grid12,+Inf,3.519553,0.128259,3.647812,410926,14036,52198,52198,2
grid14,+Inf,1.656611,0.076729,1.733340,196611,7573,25511,25511,2
grid16,+Inf,3.294527,0.124027,3.418554,401023,13025,48848,48848,0
grid18,+Inf,1.980786,0.109684,2.090470,235119,8929,30544,30544,2
grid17,+Inf,3.691183,0.137152,3.828335,439838,15147,57708,57708,0
grid16,+Inf,3.488320,0.121986,3.610306,401087,13089,48944,48944,1
grid13,+Inf,2.413175,0.161646,2.574821,293289,11021,40066,40066,2
grid16,+Inf,3.341503,0.118431,3.459934,401151,13153,49040,49040,2
grid17,+Inf,3.814681,0.152794,3.967475,439892,15201,57789,57789,1
grid17,+Inf,3.750497,0.146223,3.896720,439948,15257,57873,57873,2
grid20,+Inf,1.748750,0.068151,1.816901,217299,8115,27934,27934,0
grid19,+Inf,1.973384,0.073952,2.047336,216711,8496,29110,29110,0
grid21,+Inf,1.766592,0.070728,1.837320,205359,7854,27166,27166,0
grid23,+Inf,2.367746,0.108595,2.476341,279409,10594,38844,38844,0
grid25,3.676549,1.341681,0.240058,1.581739,160473,6482,21946,21946,0
grid1,+Inf,3.360350,0.121095,3.481445,379087,13841,51358,51358,0
grid20,+Inf,1.743620,0.058986,1.802606,217351,8167,28012,28012,1
grid21,+Inf,1.728470,0.079437,1.807907,205417,7912,27253,27253,1
grid1,+Inf,3.197845,0.139041,3.336886,379131,13885,51424,51424,1
grid24,+Inf,3.018796,0.148647,3.167443,364017,13703,51444,51444,0
grid19,+Inf,2.001572,0.107362,2.108934,216761,8546,29185,29185,1
grid20,+Inf,1.763980,0.069713,1.833693,217405,8221,28093,28093,2
grid25,4.571286,1.320471,0.246904,1.567375,160535,6544,22039,22039,1
grid23,+Inf,2.252611,0.089927,2.342538,279459,10644,38919,38919,1
grid1,+Inf,3.139873,0.118628,3.258501,379179,13933,51496,51496,2
grid19,+Inf,1.947480,0.080387,2.027867,216815,8600,29266,29266,2
grid22,+Inf,3.539174,0.119041,3.658215,373430,12426,46160,46160,0
grid21,+Inf,1.648000,0.066729,1.714729,205479,7974,27346,27346,2
grid24,+Inf,2.992970,0.133908,3.126878,364067,13753,51519,51519,1
grid23,+Inf,2.297189,0.080847,2.378036,279517,10702,39006,39006,2
grid25,3.834443,1.320091,0.296285,1.616376,160597,6606,22132,22132,2
grid27,+Inf,2.447917,0.073536,2.521453,304930,10387,37644,37644,0
grid27,+Inf,2.425679,0.075027,2.500706,304986,10443,37728,37728,1
grid22,+Inf,3.055242,0.123059,3.178301,373482,12478,46238,46238,1
grid26,2.368421,1.689223,0.287538,1.976761,204211,8258,28487,28487,1
grid24,+Inf,3.010256,0.118839,3.129095,364119,13805,51597,51597,2
grid27,+Inf,2.452748,0.098309,2.551057,305046,10503,37818,37818,2
grid26,2.842105,1.805526,0.347087,2.152613,204269,8316,28574,28574,2
grid28,+Inf,1.752319,0.091638,1.843957,197976,8176,28587,28587,0
grid26,2.263158,1.626970,0.276412,1.903382,204161,8208,28412,28412,0
grid2,+Inf,1.984431,0.080482,2.064913,247857,9632,34264,34264,0
grid28,+Inf,1.647904,0.071407,1.719311,198032,8232,28671,28671,1
grid30,+Inf,2.445025,0.084486,2.529511,285818,9845,35410,35410,0
grid31,+Inf,3.147499,0.085978,3.233477,338965,12128,44520,44520,0
grid22,+Inf,3.096868,0.107125,3.203993,373534,12530,46316,46316,2
grid32,+Inf,2.243105,0.105088,2.348193,266892,9587,33481,33481,0
grid29,+Inf,3.328713,0.096785,3.425498,415999,13271,49279,49279,0
grid30,+Inf,2.262700,0.097396,2.360096,285872,9899,35491,35491,1
grid28,+Inf,1.654215,0.069886,1.724101,198088,8288,28755,28755,2
