instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport18,+Inf,0.488739,0.050863,0.539602,61743,6497,23353,23353,0
airport13,+Inf,0.549524,0.177884,0.727408,63129,10099,36607,36607,0
airport15,1.210526,0.311399,0.643642,0.955041,36386,6818,24774,24774,0
airport0,+Inf,0.663328,0.172519,0.835847,81483,11220,41639,41639,0
airport11,+Inf,0.668769,0.123267,0.792036,83228,9711,36808,36808,0
airport14,+Inf,0.451713,0.069176,0.520889,53945,7415,29295,29295,0
airport16,1.049786,0.592530,0.526661,1.119191,74232,8888,32630,32630,0
airport10,+Inf,0.894620,0.079909,0.974529,109429,9412,35642,35642,0
airport17,1.210526,0.719832,1.083210,1.803042,90025,8521,32053,32053,0
airport12,+Inf,1.047310,0.184947,1.232257,122918,12880,51493,51493,0
airport13,+Inf,0.547428,0.185717,0.733145,63155,10125,36642,36642,1
airport18,+Inf,0.555979,0.059282,0.615261,61779,6533,23405,23405,1
airport0,+Inf,0.668627,0.195169,0.863796,81519,11256,41687,41687,1
airport11,+Inf,0.666480,0.123453,0.789933,83252,9735,36842,36842,1
airport15,0.894737,0.314685,0.860083,1.174768,36412,6844,24811,24811,1
airport16,1.207680,0.591740,0.470094,1.061834,74262,8918,32673,32673,1
airport14,+Inf,0.446000,0.066620,0.512620,53973,7443,29337,29337,1
airport19,+Inf,0.493392,0.176061,0.669453,57143,11520,40484,40484,0
airport10,+Inf,0.893173,0.071933,0.965106,109459,9442,35685,35685,1
airport17,0.894737,0.720817,1.074537,1.795354,90053,8549,32093,32093,1
airport12,+Inf,1.045563,0.184274,1.229837,122950,12912,51539,51539,1
airport20,+Inf,0.386355,0.251903,0.638258,47154,7235,25270,25270,0
airport21,0.631579,0.366471,0.185020,0.551491,47691,5202,19408,19408,0
airport1,2.728319,0.679117,1.321845,2.000962,84311,11006,40547,40547,0
airport24,+Inf,0.710491,0.624191,1.334682,84297,10491,40848,40848,0
airport25,+Inf,0.290628,0.042957,0.333585,35695,4684,15775,15775,0
airport27,+Inf,0.555635,0.054985,0.610620,71850,6121,22639,22639,0
airport18,+Inf,0.491910,0.058160,0.550070,61815,6569,23457,23457,2
airport13,+Inf,0.558917,0.172992,0.731909,63187,10157,36686,36686,2
airport15,1.024878,0.320729,0.664127,0.984856,36444,6876,24857,24857,2
airport11,+Inf,0.665747,0.145346,0.811093,83278,9761,36879,36879,2
airport0,+Inf,0.678482,0.194657,0.873139,81555,11292,41735,41735,2
airport10,+Inf,0.896682,0.070263,0.966945,109489,9472,35728,35728,2
airport14,+Inf,0.449475,0.080929,0.530404,54003,7473,29382,29382,2
airport19,+Inf,0.497335,0.187859,0.685194,57173,11550,40523,40523,1
airport17,1.000000,0.726418,0.995988,1.722406,90083,8579,32136,32136,2
airport16,1.365575,0.594291,0.951421,1.545712,74296,8952,32722,32722,2
airport28,+Inf,0.363616,0.036726,0.400342,44716,4335,15337,15337,0
airport12,+Inf,1.055651,0.191085,1.246736,122982,12944,51585,51585,2
airport2,1.157895,0.424457,0.136330,0.560787,54106,4837,17436,17436,0
airport1,2.359898,0.688366,0.815861,1.504227,84341,11036,40590,40590,1
airport20,+Inf,0.389855,0.239478,0.629333,47176,7257,25301,25301,1
airport29,+Inf,0.605447,0.394457,0.999904,72385,14004,48726,48726,0
airport21,0.842105,0.367174,0.175537,0.542711,47717,5228,19447,19447,1
airport30,+Inf,0.381213,0.216816,0.598029,47212,7226,25845,25845,0
airport24,+Inf,0.715490,0.751252,1.466742,84329,10523,40894,40894,1
airport25,+Inf,0.283152,0.055502,0.338654,35719,4708,15809,15809,1
airport32,0.947368,0.420606,0.172122,0.592728,56789,5076,18181,18181,0
airport31,+Inf,0.608722,0.096239,0.704961,72793,9348,35342,35342,0
airport27,+Inf,0.554163,0.050533,0.604696,71880,6151,22684,22684,1
airport34,+Inf,0.415914,0.053704,0.469618,49707,5589,21758,21758,0
airport35,+Inf,0.764839,0.094471,0.859310,93524,11110,43419,43419,0
airport33,+Inf,0.649450,0.101613,0.751063,82964,9906,37586,37586,0
airport19,+Inf,0.508536,0.221198,0.729734,57203,11580,40562,40562,2
airport28,+Inf,0.368401,0.048700,0.417101,44750,4369,15388,15388,1
airport36,+Inf,0.831163,0.391130,1.222293,95780,9555,36791,36791,0
airport2,1.210526,0.422010,0.140519,0.562529,54140,4871,17487,17487,1
airport20,+Inf,0.388312,0.262821,0.651133,47202,7283,25338,25338,2
airport1,2.465161,0.690867,1.200282,1.891149,84375,11070,40639,40639,2
airport29,+Inf,0.599244,0.398634,0.997878,72413,14032,48764,48764,1
airport38,+Inf,0.326720,0.226559,0.553279,36682,9975,28788,28788,0
airport21,0.631579,0.369237,0.170547,0.539784,47743,5254,19486,19486,2
airport30,+Inf,0.399669,0.208041,0.607710,47244,7258,25891,25891,1
airport39,+Inf,0.751002,0.130321,0.881323,92907,12257,46509,46509,0
airport37,1.157895,0.745101,0.447656,1.192757,94152,8382,31165,31165,0
airport24,+Inf,0.705865,0.680819,1.386684,84359,10553,40937,40937,2
airport32,0.656640,0.421103,0.169761,0.590864,56817,5104,18223,18223,1
airport25,+Inf,0.280334,0.045077,0.325411,35745,4734,15846,15846,2
airport31,+Inf,0.609588,0.097155,0.706743,72817,9372,35376,35376,1
airport40,+Inf,0.353278,0.055681,0.408959,45750,6899,24160,24160,0
airport27,+Inf,0.557028,0.074058,0.631086,71912,6183,22732,22732,2
airport3,0.631579,0.769261,0.628659,1.397920,102293,7873,29352,29352,0
airport33,+Inf,0.650045,0.073817,0.723862,82994,9936,37629,37629,1
airport41,+Inf,0.452319,0.112730,0.565049,56359,7610,26543,26543,0
airport35,+Inf,0.754226,0.100511,0.854737,93556,11142,43461,43461,1
airport34,+Inf,0.414910,0.061663,0.476573,49735,5617,21800,21800,1
airport43,+Inf,0.303885,0.056984,0.360869,38789,6570,23843,23843,0
airport28,+Inf,0.362619,0.049342,0.411961,44788,4407,15445,15445,2
airport29,+Inf,0.605076,0.404631,1.009707,72443,14062,48805,48805,2
airport2,1.263158,0.424084,0.147884,0.571968,54178,4909,17544,17544,2
airport36,+Inf,0.764955,0.403569,1.168524,95806,9581,36828,36828,1
airport44,1.105263,0.610126,0.247148,0.857274,80422,6014,21557,21557,0
airport30,+Inf,0.381511,0.220127,0.601638,47280,7294,25943,25943,2
airport38,+Inf,0.325248,0.208070,0.533318,36708,10001,28819,28819,1
airport45,+Inf,0.532592,0.237675,0.770267,65781,6791,24635,24635,0
airport31,+Inf,0.614089,0.099665,0.713754,72845,9400,35416,35416,2
airport47,+Inf,0.325483,0.225809,0.551292,37479,7885,26367,26367,0
airport37,1.607547,0.746778,0.678453,1.425231,94184,8414,31209,31209,1
airport32,0.842105,0.499982,0.171750,0.671732,56845,5132,18265,18265,2
airport39,+Inf,0.754621,0.133899,0.888520,92949,12299,46566,46566,1
airport40,+Inf,0.353229,0.087335,0.440564,45780,6929,24203,24203,1
airport48,+Inf,0.415624,0.247481,0.663105,47714,9780,36329,36329,0
airport3,0.421053,0.767732,0.417157,1.184889,102323,7903,29397,29397,1
airport49,+Inf,0.534212,0.136514,0.670726,67086,8182,29812,29812,0
airport33,+Inf,0.653370,0.107889,0.761259,83026,9968,37675,37675,2
airport34,+Inf,0.419420,0.049374,0.468794,49765,5647,21845,21845,2
airport41,+Inf,0.449961,0.131850,0.581811,56391,7642,26587,26587,1
airport4,+Inf,0.426612,0.120595,0.547207,42745,7865,25601,25601,0
airport35,+Inf,0.775094,0.130485,0.905579,93588,11174,43505,43505,2
airport43,+Inf,0.307474,0.055200,0.362674,38817,6598,23881,23881,1
