instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
airport0nDr1nDe0,0.894737,0.103710,0.033389,0.137099,13978,1891,5760,5760
airport0nDr0nDe1,1.075188,0.117604,0.050036,0.167640,15944,2189,6945,6945
airport0nDr1nDe1,0.822055,0.236644,0.133558,0.370202,31656,3580,12069,12069
airport10nDr1nDe0,0.789474,0.274543,0.104075,0.378618,36715,3669,12179,12179
airport10nDr1nDe1,3.699248,0.295476,0.153565,0.449041,39614,3881,13033,13033
airport0nDr0nDe2,1.433584,0.618007,0.297680,0.915687,82410,7176,26973,26973
airport11nDr0nDe3,1.699248,0.246548,0.085408,0.331956,29282,3344,11333,11333
airport11nDr1nDe0,0.526316,0.256069,0.134680,0.390749,34468,3715,12625,12625
airport11nDr1nDe1,0.937343,0.220461,0.097649,0.318110,29270,3336,11319,11319
airport10nDr0nDe3,2.573935,0.689182,0.363290,1.052472,90910,7290,27137,27137
airport11nDr0nDe2,1.032581,0.529400,0.247318,0.776718,70585,6490,24347,24347
airport10nDr0nDe1,1.295739,0.710518,0.357342,1.067860,95443,7510,27956,27956
airport11nDr0nDe1,1.295739,0.556944,0.500885,1.057829,74580,6702,25147,25147
airport0nDr0nDe3,1.300752,0.717710,0.520422,1.238132,95531,7988,29598,29598
airport10nDr0nDe2,1.115288,0.865837,0.568191,1.434028,104893,8064,29620,29620
airport13nDr0nDe1,1.305764,0.116336,0.035128,0.151464,15726,1927,5842,5842
airport12nDr1nDe1,1.411028,0.120997,0.058621,0.179618,16456,2451,8576,8576
airport13nDr1nDe0,0.631579,0.008197,0.008155,0.016352,830,243,389,389
airport12nDr1nDe0,1.631579,0.344829,0.138893,0.483722,46178,4834,17717,17717
airport12nDr0nDe1,0.884712,0.414258,0.164235,0.578493,55728,5361,19501,19501
airport12nDr0nDe2,1.471178,0.472829,0.210175,0.683004,63061,6004,22371,22371
airport14nDr0nDe2,1.518797,0.180639,0.043828,0.224467,18034,2447,8149,8149
airport13nDr0nDe2,3.832080,0.275087,0.091354,0.366441,36804,3743,12736,12736
airport12nDr0nDe3,2.157895,0.500879,0.357014,0.857893,67052,6475,24466,24466
airport13nDr1nDe1,1.411028,0.234365,0.079010,0.313375,31543,3430,11683,11683
airport14nDr1nDe0,1.263158,0.729555,0.392257,1.121812,96950,9311,37916,37916
airport14nDr1nDe1,1.348371,0.726322,0.645760,1.372082,97000,9356,37982,37982
airport15nDr1nDe1,2.596491,0.563780,0.310051,0.873831,75750,7427,29370,29370
airport15nDr0nDe1,0.476190,0.678454,0.531591,1.210045,88693,8373,32273,32273
airport15nDr1nDe0,0.052632,0.660094,0.498700,1.158794,88607,8301,32163,32163
airport15nDr0nDe2,1.476190,0.656035,0.754473,1.410508,88735,8409,32327,32327
airport15nDr0nDe3,1.761905,0.655734,0.739583,1.395317,88741,8413,32333,32333
airport14nDr0nDe1,1.761905,0.760988,1.308428,2.069416,102016,9966,39402,39402
airport14nDr0nDe3,2.904762,0.759079,1.283540,2.042619,102028,9974,39414,39414
airport17nDr0nDe1,1.200501,0.121910,0.033013,0.154923,15826,1960,5912,5912
airport16nDr0nDe3,1.909774,0.413101,0.180502,0.593603,55394,5085,17812,17812
airport16nDr0nDe2,1.972431,0.439242,0.305648,0.744890,59052,5464,19510,19510
airport17nDr1nDe0,1.052632,0.093605,0.023947,0.117552,12104,1446,3959,3959
airport17nDr0nDe3,3.822055,0.116794,0.035758,0.152552,15838,1968,5924,5924
airport17nDr0nDe2,1.476190,0.287124,0.098757,0.385881,36847,3824,12880,12880
airport13nDr0nDe3,3.000000,0.746389,1.980460,2.726849,100976,8296,30815,30815
airport16nDr1nDe1,10.192982,0.295583,0.428183,0.723766,39476,3882,12871,12871
airport18nDr1nDe0,1.157895,0.033635,0.027430,0.061065,4368,738,1803,1803
airport18nDr0nDe1,1.548872,0.115146,0.030587,0.145733,15570,1820,5193,5193
airport16nDr1nDe0,1.000000,0.582152,0.284294,0.866446,78096,6656,24360,24360
airport16nDr0nDe1,0.285714,0.645245,0.535108,1.180353,86954,7350,26534,26534
airport19nDr1nDe0,1.421053,0.068946,0.024688,0.093634,9090,1277,3590,3590
airport19nDr0nDe3,1.646617,0.116848,0.035906,0.152754,15744,2013,6062,6062
airport18nDr0nDe3,5.583960,0.251912,0.081612,0.333524,33700,3334,10760,10760
airport19nDr0nDe1,1.032581,0.246421,0.121863,0.368284,31964,3853,13554,13554
airport1nDr0nDe1,0.979950,0.133610,0.061934,0.195544,17993,2412,7924,7924
airport1nDr1nDe0,1.052632,0.027173,0.013610,0.040783,3467,626,1484,1484
airport17nDr1nDe1,1.253133,0.496070,0.200615,0.696685,62688,5641,20197,20197
airport19nDr1nDe1,1.032581,0.184179,0.082921,0.267100,24646,3227,11119,11119
airport18nDr1nDe1,6.175439,0.362960,0.178814,0.541774,48496,4450,15196,15196
