instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons
airport0nDr1nDe0,0.894737,0.107554,0.034241,0.141795,13978,1891,5760,5760
airport0nDr0nDe1,1.075188,0.114201,0.083966,0.198167,15301,3123,9806,9806
airport10nDr1nDe0,0.789474,0.273351,0.114288,0.387639,36715,3669,12179,12179
airport0nDr1nDe1,0.822055,0.227283,0.179307,0.406590,30152,4445,14716,14716
airport10nDr1nDe1,3.699248,0.289644,0.310291,0.599935,38185,4939,16872,16872
airport0nDr0nDe2,1.433584,0.595159,0.350474,0.945633,77168,9582,35851,35851
airport10nDr0nDe3,2.573935,0.655567,0.607424,1.262991,83009,11268,41429,41429
airport10nDr0nDe1,1.295739,0.795256,0.472491,1.267747,92407,8636,32427,32427
airport10nDr0nDe2,1.115288,0.754877,0.551357,1.306234,98909,10746,40284,40284
airport0nDr0nDe3,1.300752,0.690044,0.743231,1.433275,87472,12062,44548,44548
airport11nDr0nDe1,1.295739,0.545394,0.513930,1.059324,71905,7725,28954,28954
airport11nDr0nDe3,1.699248,0.208037,0.175742,0.383779,26009,6530,19960,19960
airport11nDr1nDe0,0.526316,0.256203,0.122311,0.378514,34468,3715,12625,12625
airport11nDr0nDe2,1.032581,0.509290,0.538110,1.047400,66083,8821,32781,32781
airport11nDr1nDe1,0.937343,0.209313,0.108843,0.318156,27829,4175,13798,13798
airport12nDr0nDe1,0.884712,0.409919,0.224876,0.634795,53558,6347,22972,22972
airport12nDr1nDe0,1.631579,0.349742,0.150129,0.499871,46178,4834,17717,17717
airport12nDr0nDe2,1.471178,0.452159,0.382224,0.834383,58720,8280,30274,30274
airport12nDr1nDe1,1.411028,0.115915,0.064530,0.180445,15509,3193,10387,10387
airport13nDr0nDe1,1.305764,0.111020,0.055326,0.166346,14869,2714,7921,7921
airport12nDr0nDe3,2.157895,0.488895,0.432107,0.921002,60917,10184,36931,36931
airport13nDr1nDe0,0.631579,0.008057,0.007920,0.015977,830,243,389,389
airport13nDr0nDe2,3.832080,0.262955,0.216634,0.479589,33921,5817,19223,19223
airport14nDr0nDe2,1.518797,0.127183,0.081785,0.208968,16488,4298,12973,12973
airport13nDr1nDe1,1.411028,0.265239,0.105912,0.371151,30033,4291,14318,14318
airport14nDr1nDe0,1.263158,0.838615,0.362690,1.201305,96950,9311,37916,37916
airport14nDr1nDe1,1.348371,0.713855,0.679046,1.392901,93808,10404,42021,42021
airport15nDr0nDe1,0.476190,0.658558,0.598323,1.256881,85949,9705,37778,37778
airport14nDr0nDe1,1.761905,0.756710,1.389486,2.146196,99445,11423,45878,45878
airport15nDr0nDe2,1.476190,0.635218,0.826034,1.461252,83478,10878,41736,41736
airport15nDr1nDe0,0.052632,0.666344,0.573580,1.239924,88607,8301,32163,32163
airport15nDr1nDe1,2.596491,0.559766,0.669998,1.229764,73441,8712,34634,34634
airport14nDr0nDe3,2.904762,0.739441,1.673889,2.413330,93881,14220,55370,55370
airport15nDr0nDe3,1.761905,0.635025,1.020024,1.655049,81250,12376,46647,46647
airport13nDr0nDe3,3.000000,0.751021,2.263522,3.014543,92409,12385,45809,45809
airport16nDr0nDe2,1.972431,0.426190,0.303396,0.729586,54906,7720,27278,27278
airport16nDr0nDe3,1.909774,0.397229,0.252368,0.649597,49868,8739,29593,29593
airport16nDr0nDe1,0.285714,0.632663,0.615766,1.248429,84112,8461,30901,30901
airport17nDr0nDe1,1.200501,0.166749,0.069385,0.236134,14967,2746,7981,7981
airport16nDr1nDe0,1.000000,0.584131,0.287110,0.871241,78096,6656,24360,24360
airport16nDr1nDe1,10.192982,0.289475,0.537455,0.826930,38011,4923,16600,16600
airport17nDr0nDe2,1.476190,0.273687,0.162486,0.436173,33907,5868,19186,19186
airport17nDr1nDe0,1.052632,0.093814,0.035772,0.129586,12104,1446,3959,3959
airport17nDr0nDe3,3.822055,0.117885,0.159889,0.277774,14173,4853,12606,12606
airport18nDr0nDe1,1.548872,0.110813,0.066725,0.177538,14891,2736,7954,7954
airport18nDr1nDe0,1.157895,0.033590,0.015857,0.049447,4368,738,1803,1803
airport18nDr0nDe3,5.583960,0.250032,0.225680,0.475712,30059,6565,19957,19957
airport17nDr1nDe1,1.253133,0.456332,0.443815,0.900147,60668,6801,24756,24756
