instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport23,1.315789,0.581110,0.477787,1.058897,78811,10602,36975,36975,0
airport30,1001.473684,0.686263,0.404345,1.090608,90874,7366,26753,26753,0
airport15,1000.052632,0.694914,0.501746,1.196660,94341,9933,38325,38325,0
airport24,8001.842105,0.710036,0.400815,1.110851,93965,10870,41018,41018,0
airport13,1001.578947,0.781551,0.484378,1.265929,105556,8315,31305,31305,0
airport32,1001.105263,0.716362,0.445815,1.162177,96078,7597,27620,27620,0
airport2,1001.473684,0.714039,0.453805,1.167844,96600,7627,28365,28365,0
airport17,1.157895,0.738412,0.474540,1.212952,98414,10467,37950,37950,0
airport1,0.421053,0.725934,0.518581,1.244515,96544,8688,31497,31497,0
airport27,1001.473684,0.783304,0.454875,1.238179,105190,8148,30188,30188,0
airport19,1001.736842,0.685173,0.597528,1.282701,91478,7801,29212,29212,0
airport0,1002.418546,0.791253,0.768776,1.560029,102678,10879,40340,40340,0
airport29,1001.473684,0.656669,0.738750,1.395419,88896,8351,32846,32846,0
airport11,1.681704,0.650841,0.896799,1.547640,87771,7883,29441,29441,0
airport36,1.105263,0.741239,0.716316,1.457555,98490,10963,40270,40270,0
airport18,1.684211,0.770929,0.781624,1.552553,102592,10565,38553,38553,0
airport22,1001.210526,0.690266,0.804664,1.494930,92720,8260,31595,31595,0
airport16,1.997494,0.680574,0.883085,1.563659,91352,7652,28201,28201,0
airport35,1.491228,0.746657,0.756753,1.503410,98877,11031,41289,41289,0
airport31,1.681704,0.615971,0.885957,1.501928,83596,7476,27672,27672,0
airport26,1001.947368,0.859479,0.637564,1.497043,114014,8525,31780,31780,0
airport34,1.892231,0.655309,0.975651,1.630960,88691,8258,32019,32019,0
airport10,3.431078,0.852010,1.054119,1.906129,109738,8392,31372,31372,0
airport20,2.776942,0.781550,1.023256,1.804806,104678,8272,29799,29799,0
airport21,2.052632,0.800015,1.005154,1.805169,104948,12659,46625,46625,0
airport12,2001.105263,0.973840,0.980015,1.953855,127793,12651,47742,47742,0
airport33,2001.105263,0.877557,0.961744,1.839301,117220,11574,42570,42570,0
airport28,1.105263,0.747538,1.142604,1.890142,99067,10879,39977,39977,0
airport14,1.095238,0.809494,1.324562,2.134056,106464,10041,39574,39574,0
airport25,4.428571,0.744884,1.470220,2.215104,100142,7578,26589,26589,0
airport23,1.210526,0.584826,0.445540,1.030366,78831,10622,37001,37001,1
airport30,1001.368421,0.723355,0.407039,1.130394,90904,7396,26798,26798,1
airport22,1001.157895,0.686205,0.778485,1.464690,92742,8282,31628,31628,1
airport15,1000.000000,0.700581,0.510983,1.211564,94369,9961,38365,38365,1
airport26,1001.736842,0.854174,0.655324,1.509498,114048,8559,31831,31831,1
airport2,1001.315789,0.750260,0.430910,1.181170,96628,7655,28407,28407,1
airport32,1001.105263,0.796956,0.479191,1.276147,96102,7621,27656,27656,1
airport23,1.157895,0.635818,0.497757,1.133575,78851,10642,37027,37027,2
airport27,1001.315789,0.818365,0.600751,1.419116,105216,8174,30227,30227,1
airport13,1001.368421,0.861517,0.536163,1.397680,105584,8343,31347,31347,1
airport19,1001.526316,0.718010,0.704296,1.422306,91506,7829,29254,29254,1
airport34,1.786967,0.677577,1.265683,1.943260,88719,8286,32061,32061,1
airport18,1.473684,0.906860,0.846609,1.753469,102616,10589,38589,38589,1
airport21,1.736842,0.850681,0.933411,1.784092,104976,12687,46665,46665,1
airport24,6001.578947,0.796514,0.454374,1.250888,93995,10900,41059,41059,1
airport25,4.428571,0.793665,1.063432,1.857097,100156,7592,26610,26610,1
airport20,2.776942,0.881248,1.113075,1.994323,104684,8278,29808,29808,1
airport28,1.105263,0.941614,1.385678,2.327292,99079,10891,39995,39995,1
airport31,1.681704,0.669738,1.100504,1.770242,83606,7486,27687,27687,1
airport11,1.681704,0.914097,0.957592,1.871689,87787,7899,29465,29465,1
airport29,1001.315789,0.915176,0.829215,1.744391,88924,8379,32888,32888,1
airport0,1002.155388,0.842053,0.859521,1.701574,102712,10913,40389,40389,1
airport14,1.095238,0.860721,1.468244,2.328965,106482,10059,39601,39601,1
airport17,1.105263,0.800317,0.499077,1.299394,98436,10489,37979,37979,1
airport1,0.315789,0.756046,0.560847,1.316893,96572,8716,31537,31537,1
airport16,1.892231,0.818743,0.880515,1.699258,91376,7676,28237,28237,1
airport22,1001.105263,0.908103,0.843180,1.751283,92764,8304,31661,31661,2
airport36,1.105263,0.811489,0.945879,1.757368,98506,10979,40292,40292,1
airport26,1001.578947,0.893456,0.775716,1.669172,114080,8591,31879,31879,2
airport37,0.333333,0.853599,0.819261,1.672860,109268,7981,28168,28168,0
airport33,2001.105263,0.927424,1.148057,2.075481,117236,11590,42590,42590,1
airport35,1.438596,0.786209,0.939773,1.725982,98907,11061,41330,41330,1
airport30,1001.263158,0.741399,0.463413,1.204812,90934,7426,26843,26843,2
airport15,1000.000000,0.759172,0.518440,1.277612,94389,9981,38395,38395,2
airport2,1001.210526,0.814065,0.455416,1.269481,96656,7683,28449,28449,2
