instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport30,+Inf,0.407054,0.051109,0.458163,50582,4801,17008,17008,0
airport15,1.210526,0.421853,0.190535,0.612388,39524,4744,18119,18119,0
airport2,1.157895,0.428766,0.146810,0.575576,54106,4837,17354,17354,0
airport32,0.947368,0.614403,0.182867,0.797270,56789,5076,18113,18113,0
airport27,+Inf,0.561439,0.055276,0.616715,71850,6121,22435,22435,0
airport34,+Inf,0.434572,0.064618,0.499190,49707,5589,21566,21566,0
airport13,+Inf,0.662289,0.059949,0.722238,69743,6147,22420,22420,0
airport18,+Inf,0.522216,0.049517,0.571733,64135,5447,19233,19233,0
airport19,+Inf,0.762915,0.072032,0.834947,65140,6469,24670,24670,0
airport28,+Inf,0.430060,0.037668,0.467728,44716,4335,15227,15227,0
airport21,0.631579,0.461494,0.185923,0.647417,47691,5202,19346,19346,0
airport25,+Inf,0.333966,0.053885,0.387851,37239,3592,11855,11855,0
airport20,+Inf,0.527820,0.038465,0.566285,50621,4695,15972,15972,0
airport31,+Inf,0.945362,0.060585,1.005947,77541,6653,24531,24531,0
airport24,+Inf,1.464268,0.071855,1.536123,89821,7883,30531,30531,0
airport11,+Inf,1.055584,0.061410,1.116994,88734,7225,27053,27053,0
airport14,+Inf,0.619329,0.057022,0.676351,55757,6165,24229,24229,0
airport29,+Inf,1.050547,0.086632,1.137179,84551,7767,30809,30809,0
airport0,+Inf,1.250242,0.079430,1.329672,89386,7382,27687,27687,0
airport17,1.210526,1.454393,0.352262,1.806655,92765,7145,25961,25961,0
airport1,2.728319,1.359289,0.348786,1.708075,92161,6992,25482,25482,0
airport16,1.049786,1.281867,0.377029,1.658896,79368,6457,23349,23349,0
airport36,+Inf,1.576725,0.073427,1.650152,98559,8138,30331,30331,0
airport33,+Inf,1.412473,0.081343,1.493816,88337,7381,27584,27584,0
airport35,+Inf,1.983745,0.067115,2.050860,99213,8572,33196,33196,0
airport10,+Inf,2.240959,0.082562,2.323521,112821,8216,30319,30319,0
airport30,+Inf,0.666612,0.053259,0.719871,50614,4833,17056,17056,1
airport15,0.894737,0.451222,0.156948,0.608170,39550,4770,18158,18158,1
airport2,1.210526,0.467096,0.152018,0.619114,54140,4871,17405,17405,1
airport32,0.656640,0.645670,0.189602,0.835272,56817,5104,18155,18155,1
airport27,+Inf,0.613218,0.064320,0.677538,71880,6151,22480,22480,1
airport34,+Inf,0.458751,0.065484,0.524235,49735,5617,21608,21608,1
airport18,+Inf,0.540570,0.057712,0.598282,64171,5483,19287,19287,1
airport13,+Inf,0.628295,0.053389,0.681684,69769,6173,22459,22459,1
airport19,+Inf,0.787863,0.060884,0.848747,65170,6499,24715,24715,1
airport25,+Inf,0.293228,0.068503,0.361731,37263,3616,11891,11891,1
airport21,0.842105,0.443784,0.243346,0.687130,47717,5228,19385,19385,1
airport12,+Inf,3.433355,0.101568,3.534923,129518,9763,37760,37760,0
airport28,+Inf,0.432746,0.062545,0.495291,44750,4369,15278,15278,1
airport20,+Inf,0.516350,0.037401,0.553751,50643,4717,16005,16005,1
airport24,+Inf,1.569356,0.084321,1.653677,89853,7915,30579,30579,1
airport31,+Inf,0.947241,0.057586,1.004827,77565,6677,24567,24567,1
airport14,+Inf,0.759905,0.069542,0.829447,55785,6193,24271,24271,1
airport11,+Inf,1.232419,0.078534,1.310953,88758,7249,27089,27089,1
airport30,+Inf,0.436705,0.054154,0.490859,50650,4869,17110,17110,2
airport29,+Inf,1.084916,0.096310,1.181226,84579,7795,30851,30851,1
airport0,+Inf,1.205171,0.081361,1.286532,89422,7418,27741,27741,1
airport16,1.207680,1.194842,0.284399,1.479241,79398,6487,23394,23394,1
airport15,1.024878,0.487556,0.147903,0.635459,39582,4802,18206,18206,2
airport1,2.359898,1.414349,0.351376,1.765725,92191,7022,25527,25527,1
airport2,1.263158,0.465462,0.164213,0.629675,54178,4909,17462,17462,2
airport17,0.894737,1.827354,0.343524,2.170878,92793,7173,26003,26003,1
airport32,0.842105,0.542282,0.201064,0.743346,56845,5132,18197,18197,2
airport36,+Inf,1.554521,0.097884,1.652405,98585,8164,30370,30370,1
airport27,+Inf,0.697088,0.054541,0.751629,71912,6183,22528,22528,2
airport33,+Inf,1.418762,0.083923,1.502685,88367,7411,27629,27629,1
airport35,+Inf,1.862274,0.068952,1.931226,99245,8604,33244,33244,1
airport37,1.157895,1.739946,0.302495,2.042441,97103,7076,25396,25396,0
airport38,+Inf,0.410883,0.053427,0.464310,43074,3875,12883,12883,0
airport34,+Inf,0.468193,0.087725,0.555918,49765,5647,21653,21653,2
airport25,+Inf,0.307010,0.031646,0.338656,37289,3642,11930,11930,2
