instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons
metroplex13nDr1nDe0,2.210526,0.165400,0.030251,0.195651,20520,972,2124,2124
airport13nDr1nDe0,0.631579,0.008948,0.008141,0.017089,830,243,389,389
metroplex11nDr1nDe0,2.105263,0.495028,0.050135,0.545163,60565,2393,6370,6370
metroplex10nDr1nDe1,2.040100,0.612858,0.059774,0.672632,56899,2531,6748,6748
metroplex13nDr0nDe1,11.055138,0.405004,0.054220,0.459224,50193,1822,4782,4782
metroplex14nDr0nDe2,5.393484,0.301042,0.035144,0.336186,35671,1952,5283,5283
metroplex0nDr1nDe1,3.832080,0.788622,0.085621,0.874243,91550,3125,8593,8593
metroplex10nDr1nDe0,2.421053,0.970124,0.134335,1.104459,107112,3780,11066,11066
metroplex10nDr0nDe2,4.944836,0.401544,0.038104,0.439648,49389,2195,6004,6004
metroplex12nDr1nDe0,2.052632,0.873460,0.064885,0.938345,107850,3113,8788,8788
metroplex14nDr1nDe1,7.709273,0.578480,0.066769,0.645249,59991,2788,8090,8090
grid13nDr1nDe0,3.052632,0.734295,0.069757,0.804052,92670,4289,7877,7877
airport13nDr0nDe1,1.305764,0.211139,0.036277,0.247416,15726,1927,5794,5794
airport11nDr1nDe0,0.526316,0.260801,0.122919,0.383720,34468,3715,12561,12561
airport14nDr0nDe2,1.518797,0.135953,0.046573,0.182526,18034,2447,8133,8133
airport10nDr1nDe1,3.699248,0.303286,0.144954,0.448240,39614,3881,12977,12977
metroplex11nDr0nDe1,9.644110,1.084129,0.253594,1.337723,128876,3947,11423,11423
metroplex11nDr1nDe1,13.180155,0.861035,0.265002,1.126037,106670,3519,9762,9762
airport0nDr1nDe1,0.822055,0.266485,0.149824,0.416309,31656,3580,12005,12005
metroplex13nDr1nDe1,3.413534,0.954317,0.124415,1.078732,118025,3733,10994,10994
airport10nDr1nDe0,0.789474,0.320212,0.113466,0.433678,36715,3669,12123,12123
metroplex13nDr0nDe2,12.100251,0.940762,0.120910,1.061672,102289,3259,9262,9262
metroplex12nDr0nDe1,7.225564,0.998009,0.137283,1.135292,124735,3550,10024,10024
grid14nDr0nDe2,2.842105,0.423959,0.037540,0.461499,51800,2699,4616,4616
airport12nDr1nDe0,1.631579,0.430608,0.160639,0.591247,46178,4834,17661,17661
grid11nDr1nDe0,3.210526,0.604707,0.045883,0.650590,74144,3572,6349,6349
grid13nDr0nDe1,5.932331,0.781462,0.094010,0.875472,97642,4462,8231,8231
metroplex0nDr1nDe0,2.052632,1.672417,0.283375,1.955792,207564,5387,16577,16577
grid10nDr1nDe1,3.172932,0.621470,0.076702,0.698172,78864,3829,6853,6853
airport11nDr1nDe1,0.937343,0.230003,0.087193,0.317196,29270,3336,11279,11279
airport10nDr0nDe2,1.115288,0.948031,0.595107,1.543138,104893,8064,29412,29412
airport13nDr1nDe1,1.411028,0.238468,0.080581,0.319049,31543,3430,11607,11607
metroplex0nDr0nDe1,3.298246,1.782831,0.298839,2.081670,222237,5702,17760,17760
airport14nDr1nDe1,1.348371,0.737992,0.646703,1.384695,97000,9356,37854,37854
airport13nDr0nDe2,3.832080,0.279318,0.124991,0.404309,36804,3743,12652,12652
metroplex14nDr0nDe3,7.859649,1.336438,0.403643,1.740081,163795,5765,18577,18577
metroplex12nDr0nDe2,14.837093,1.391665,0.439053,1.830718,181810,4741,14638,14638
airport12nDr0nDe1,0.884712,0.428259,0.166455,0.594714,55728,5361,19403,19403
airport11nDr0nDe1,1.295739,0.571498,0.427130,0.998628,74580,6702,24963,24963
metroplex13nDr0nDe3,5.556391,1.197213,0.200259,1.397472,153180,4558,13806,13806
grid11nDr1nDe1,3.626566,0.526102,0.046257,0.572359,65925,3241,5726,5726
airport0nDr1nDe0,0.894737,0.109985,0.035307,0.145292,13978,1891,5736,5736
metroplex12nDr0nDe3,10.892231,1.031199,0.131279,1.162478,124747,3558,10036,10036
grid12nDr1nDe0,2.210526,1.053939,0.112583,1.166522,133862,5694,10692,10692
airport0nDr0nDe1,1.075188,0.125639,0.042754,0.168393,15944,2189,6919,6919
grid0nDr1nDe1,5.694236,1.444375,0.215889,1.660264,183500,6943,13483,13483
grid10nDr1nDe0,2.263158,1.625008,0.178110,1.803118,195047,7747,15169,15169
grid13nDr1nDe1,1.807018,1.082174,0.162351,1.244525,117442,5389,10115,10115
grid13nDr0nDe2,6.686717,0.770840,0.106798,0.877638,97648,4466,8237,8237
airport12nDr0nDe2,1.471178,0.489228,0.217563,0.706791,63061,6004,22261,22261
airport12nDr0nDe3,2.157895,0.534276,0.382399,0.916675,67052,6475,24354,24354
metroplex12nDr1nDe1,2.869674,3.329237,0.718903,4.048140,413159,9411,33315,33315
metroplex14nDr1nDe0,1.947368,3.565061,1.148084,4.713145,417068,10655,37458,37458
grid12nDr0nDe1,3.288221,1.554798,0.197621,1.752419,181771,7538,14707,14707
airport14nDr0nDe3,2.904762,0.807287,1.347429,2.154716,102028,9974,39284,39284
grid11nDr0nDe1,2.832080,1.605183,0.158465,1.763648,202020,7768,15055,15055
metroplex0nDr0nDe2,11.558897,2.164638,0.748571,2.913209,269340,6666,21457,21457
grid0nDr1nDe0,3.526316,2.353041,0.211633,2.564674,270507,9321,18832,18832
metroplex11nDr0nDe3,13.110276,3.337246,1.044650,4.381896,388701,9484,33318,33318
metroplex14nDr0nDe1,1.631579,3.854545,1.566945,5.421490,472479,11596,40605,40605
airport13nDr0nDe3,3.000000,0.765965,2.040511,2.806476,100976,8296,30567,30567
metroplex11nDr0nDe2,11.015038,3.340235,1.098404,4.438639,388695,9480,33312,33312
metroplex10nDr0nDe1,18.583960,3.042365,6.727345,9.769710,340816,8674,29865,29865
grid0nDr0nDe1,3.498747,2.193761,0.275007,2.468768,270569,9377,18918,18918
airport12nDr1nDe1,1.411028,0.129220,0.062697,0.191917,16456,2451,8564,8564
grid12nDr0nDe2,9.578947,1.510190,0.308384,1.818574,168961,7195,13937,13937
metroplex16nDr1nDe1,2.213033,1.417693,0.249620,1.667313,179094,5246,16110,16110
grid14nDr1nDe1,2.967419,2.753094,0.465085,3.218179,355258,12336,25307,25307
metroplex17nDr0nDe1,2.904762,1.660402,0.274371,1.934773,207776,6273,20922,20922
grid10nDr0nDe2,5.453634,3.017932,0.502310,3.520242,380348,13199,27206,27206
metroplex16nDr1nDe0,2.210526,2.239134,0.486439,2.725573,270046,7252,23971,23971
airport11nDr0nDe3,1.699248,0.224715,0.089153,0.313868,29282,3344,11293,11293
metroplex17nDr0nDe2,4.421053,0.900135,0.097121,0.997256,112047,3831,11673,11673
airport0nDr0nDe2,1.433584,0.731540,0.303575,1.035115,82410,7176,26837,26837
airport14nDr1nDe0,1.263158,0.766522,0.391497,1.158019,96950,9311,37788,37788
airport17nDr0nDe1,1.200501,0.126752,0.036862,0.163614,15826,1960,5900,5900
grid12nDr0nDe3,3.020050,1.830919,0.319016,2.149935,215652,8785,17268,17268
grid13nDr0nDe3,8.553885,0.937893,0.155995,1.093888,112063,5171,9694,9694
metroplex15nDr1nDe1,3.215539,3.418811,1.172280,4.591091,431340,9609,32964,32964
metroplex17nDr1nDe1,2.553885,0.463825,0.069284,0.533109,57340,2442,6940,6940
airport16nDr1nDe1,10.192982,0.308991,0.299461,0.608452,39476,3882,12801,12801
metroplex15nDr1nDe0,1.421053,4.652645,1.362947,6.015592,569284,11648,40905,40905
metroplex16nDr0nDe1,12.631579,2.966594,1.193679,4.160273,351399,8802,30256,30256
airport17nDr0nDe2,1.476190,0.291916,0.118313,0.410229,36847,3824,12850,12850
grid12nDr1nDe1,2.649123,1.427556,0.313567,1.741123,168955,7191,13929,13929
metroplex17nDr1nDe0,2.157895,1.621900,0.230846,1.852746,193099,5943,19611,19611
airport11nDr0nDe2,1.032581,0.849309,0.259533,1.108842,70585,6490,24171,24171
airport10nDr0nDe1,1.295739,0.828039,0.423613,1.251652,95443,7510,27756,27756
airport16nDr1nDe0,1.000000,0.706998,0.288276,0.995274,78096,6656,24216,24216
airport17nDr1nDe1,1.253133,0.552700,0.202515,0.755215,62688,5641,20089,20089
metroplex17nDr0nDe3,10.729323,0.331370,0.050805,0.382175,39664,1961,5270,5270
airport17nDr1nDe0,1.052632,0.093513,0.038226,0.131739,12104,1446,3947,3947
airport14nDr0nDe1,1.761905,0.785504,1.288809,2.074313,102016,9966,39272,39272
grid11nDr0nDe3,5.964912,0.899513,0.123646,1.023159,111275,4989,9165,9165
grid17nDr0nDe1,3.042607,1.350298,0.133547,1.483845,168585,6851,13165,13165
airport17nDr0nDe3,3.822055,0.123823,0.049458,0.173281,15838,1968,5912,5912
grid17nDr0nDe2,6.481203,0.847382,0.082814,0.930196,101427,4736,8677,8677
metroplex18nDr1nDe0,2.578947,1.457989,0.222640,1.680629,179884,5003,15816,15816
airport15nDr1nDe1,2.596491,0.595264,0.359352,0.954616,75750,7427,29258,29258
grid14nDr1nDe0,2.263158,1.978027,0.212174,2.190201,245816,9191,18284,18284
grid17nDr1nDe0,2.421053,0.939575,0.112673,1.052248,116790,5130,9464,9464
