instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons
metroplex13nDr1nDe0,2.210526,0.162406,0.017024,0.179430,20520,972,2124,2124
airport13nDr1nDe0,0.631579,0.009136,0.008737,0.017873,830,243,389,389
metroplex11nDr1nDe0,2.105263,0.648139,0.049493,0.697632,60565,2393,6370,6370
metroplex10nDr1nDe1,2.040100,0.457034,0.238462,0.695496,58087,3690,10522,10522
metroplex10nDr1nDe0,2.421053,0.855104,0.110066,0.965170,107112,3780,11066,11066
metroplex12nDr1nDe0,2.052632,0.872814,0.079537,0.952351,107850,3113,8788,8788
metroplex13nDr0nDe1,9.939850,0.402464,0.580162,0.982626,51316,2919,7945,7945
metroplex0nDr1nDe1,3.832080,0.854025,0.351020,1.205045,92768,4312,12619,12619
metroplex14nDr1nDe1,7.709273,0.502027,0.884829,1.386856,61202,3972,11947,11947
grid13nDr1nDe0,3.052632,0.747730,0.072916,0.820646,92670,4289,7877,7877
metroplex10nDr0nDe2,4.944836,0.542380,1.163519,1.705899,51532,4397,12180,12180
metroplex14nDr0nDe2,5.393484,0.307010,1.309765,1.616775,37863,4227,11535,11535
metroplex11nDr0nDe1,9.644110,1.040643,0.961009,2.001652,130200,5234,15962,15962
metroplex0nDr1nDe0,2.052632,1.856444,0.347501,2.203945,207564,5387,16577,16577
airport11nDr1nDe0,0.526316,0.295208,0.116787,0.411995,34468,3715,12561,12561
metroplex11nDr1nDe1,13.180155,1.045480,1.286349,2.331829,107919,4734,13880,13880
metroplex12nDr0nDe1,7.225564,0.992233,1.316562,2.308795,125989,4762,14141,14141
metroplex13nDr1nDe1,3.413534,1.046881,1.229071,2.275952,119290,4963,15332,15332
airport13nDr0nDe1,1.305764,0.130017,0.055990,0.186007,16518,2714,7721,7721
airport10nDr1nDe1,3.699248,0.318393,0.228260,0.546653,40695,4939,16546,16546
metroplex13nDr0nDe2,12.100251,0.833574,1.855734,2.689308,104794,5819,17361,17361
airport14nDr0nDe2,1.518797,0.146287,0.092998,0.239285,19799,4298,12645,12645
metroplex0nDr0nDe1,3.298246,1.834101,1.540958,3.375059,223737,7149,23359,23359
airport0nDr1nDe1,0.822055,0.242429,0.162955,0.405384,32527,4445,14426,14426
grid13nDr0nDe1,5.932331,0.757050,0.253833,1.010883,98942,5724,10829,10829
grid11nDr1nDe0,3.210526,0.721716,0.047986,0.769702,74144,3572,6349,6349
airport10nDr1nDe0,0.789474,0.283725,0.109212,0.392937,36715,3669,12123,12123
airport12nDr1nDe0,1.631579,0.388491,0.161608,0.550099,46178,4834,17661,17661
grid14nDr0nDe2,2.842105,0.444052,0.276235,0.720287,54133,5095,8879,8879
metroplex12nDr0nDe2,8.521303,1.444344,3.047251,4.491595,184560,7513,24104,24104
airport10nDr0nDe2,1.115288,0.816750,0.620436,1.437186,107536,10746,38964,38964
metroplex14nDr0nDe3,7.859649,1.476805,3.094244,4.571049,168147,10332,34602,34602
metroplex10nDr0nDe1,6.957393,2.950855,1.869391,4.820246,342348,10143,35977,35977
metroplex14nDr1nDe0,1.947368,3.632276,1.166753,4.799029,417068,10655,37458,37458
grid10nDr1nDe1,3.172932,0.645732,0.266565,0.912297,80142,5078,9361,9361
airport14nDr1nDe1,1.348371,0.841289,0.726742,1.568031,98062,10404,41489,41489
metroplex12nDr1nDe1,2.869674,3.407899,1.801589,5.209488,414987,11172,40917,40917
metroplex13nDr0nDe3,5.468672,1.391211,4.421842,5.813053,157214,8803,27629,27629
metroplex14nDr0nDe1,1.631579,3.888989,2.095206,5.984195,474419,13461,49099,49099
airport11nDr1nDe1,0.937343,0.228976,0.118473,0.347449,30115,4175,13540,13540
airport13nDr1nDe1,1.411028,0.242998,0.114010,0.357008,32411,4291,14010,14010
metroplex12nDr0nDe3,10.892231,1.022542,5.652993,6.675535,128484,7521,21695,21695
grid0nDr1nDe1,5.694236,1.461788,0.465471,1.927259,185091,8493,16875,16875
airport13nDr0nDe2,3.832080,0.294059,0.318610,0.612669,38816,5817,18651,18651
grid10nDr1nDe0,2.263158,1.572311,0.218384,1.790695,195047,7747,15169,15169
airport11nDr0nDe1,1.295739,0.567368,0.550470,1.117838,75613,7725,28398,28398
grid12nDr1nDe0,2.210526,1.146316,0.099716,1.246032,133862,5694,10692,10692
