Data Name,Total,Binary,Integer,Linear
airport0nDr0nDe1,3123,1270,17,1560
airport0nDr0nDe2,9582,5131,39,3435
airport0nDr0nDe3,12062,6252,42,4100
airport0nDr1nDe0,1891,775,16,1100
airport0nDr1nDe1,4445,1962,24,2183
airport10nDr0nDe1,8636,4721,42,3597
airport10nDr0nDe2,10746,5735,44,3990
airport10nDr0nDe3,11268,5814,41,3745
airport10nDr1nDe0,3669,1721,26,1922
airport10nDr1nDe1,4939,2312,27,2324
airport11nDr0nDe1,7725,4162,37,3250
airport11nDr0nDe2,8821,4620,36,3188
airport11nDr0nDe3,6530,2540,23,2299
airport11nDr1nDe0,3715,1787,25,1903
airport11nDr1nDe1,4175,1848,23,2028
airport12nDr0nDe1,6347,3288,32,2751
airport12nDr0nDe2,8280,4287,34,2982
airport12nDr0nDe3,10184,5184,35,3297
airport12nDr1nDe0,4834,2660,29,2145
airport12nDr1nDe1,3193,1396,17,1504
airport13nDr0nDe1,2714,963,17,1458
airport13nDr0nDe2,5817,2528,26,2286
airport13nDr0nDe3,12385,6385,43,4289
airport13nDr1nDe0,243,29,4,210
airport13nDr1nDe1,4291,1918,24,2073
airport14nDr0nDe1,11423,6880,43,4224
airport14nDr0nDe2,4298,1639,18,1664
airport14nDr0nDe3,14220,8030,43,4479
airport14nDr1nDe0,9311,5916,42,3353
airport14nDr1nDe1,10404,6363,42,3723
airport15nDr0nDe1,9705,5576,40,3813
airport15nDr0nDe2,10878,5997,40,3864
airport15nDr0nDe3,12376,6604,40,4064
airport15nDr1nDe0,8301,4877,40,3384
airport15nDr1nDe1,8712,5187,37,3212
airport16nDr0nDe1,8461,4388,40,3757
airport16nDr0nDe2,7720,3757,33,2953
airport16nDr0nDe3,8739,3983,32,3056
airport16nDr1nDe0,6656,3608,38,3010
airport16nDr1nDe1,4923,2256,27,2364
airport17nDr0nDe1,2746,981,17,1472
airport17nDr0nDe2,5868,2533,26,2332
airport17nDr0nDe3,4853,1437,17,1731
airport17nDr1nDe0,1446,508,15,923
airport17nDr1nDe1,6801,3514,34,2977
airport18nDr0nDe1,2736,963,17,1480
airport18nDr0nDe2,9766,5119,41,3629
airport18nDr0nDe3,6565,2497,25,2375
airport18nDr1nDe0,738,209,9,520
airport18nDr1nDe1,5607,2718,30,2583
airport19nDr0nDe1,4707,2210,24,2197
airport19nDr0nDe2,9308,4939,37,3355
airport19nDr0nDe3,4980,1516,17,1779
airport19nDr1nDe0,1277,465,13,799
airport19nDr1nDe1,4176,1933,21,1946
airport1nDr0nDe1,3188,1285,18,1609
airport1nDr0nDe2,7413,3598,31,2807
airport1nDr0nDe3,10662,5348,39,3607
airport1nDr1nDe0,626,172,8,446
airport1nDr1nDe1,5024,2363,26,2359
airport20nDr0nDe1,3327,1256,20,1775
airport20nDr0nDe2,4291,1480,20,1814
airport20nDr0nDe3,12087,6123,43,4253
airport20nDr1nDe0,1995,735,18,1242
airport20nDr1nDe1,6488,3271,33,2908
airport21nDr0nDe1,9892,5635,42,3939
airport21nDr0nDe2,11291,6290,42,3982
airport21nDr0nDe3,12551,6675,42,4166
airport21nDr1nDe0,8445,4881,42,3522
airport21nDr1nDe1,7908,4551,33,3048
airport22nDr0nDe1,4501,2178,23,2024
